origin;sent_id;sentence;source_term;CHV_selection;CHV_substitution;CHV_sim_score;MLM_selection;MLM_substitution;MLM_sim_score
House;56;That could manifest with hypo-cardio.;hypo-cardio;[];;;['infection', 'anxiety', 'age', 'MR', 'stress', 'pneumonia', 'exercise', 'fatigue', 'nausea', 'demand'];infection;12
House;180;And we can't go there because of the encephalitis.;encephalitis;['brain inflammation', 'rasmussen encephalitis'];brain inflammation;11.0;['infection', 'pneumonia', 'seizure', 'fever', 'bleeding', 'confusion', 'disease', 'bleed', 'stroke', 'liver'];infection;33
House;346;We'll skin test for allergies.;allergies;['allergy', 'hypersensitivity', 'hypersensitivity symptom'];allergy;100.0;['flu', 'infection', 'fever', 'cancer', 'age', 'pets', 'cough', 'pneumonia', 'pain', 'yeast'];cancer;46
House;415;Would've been easier to deal with a tumor.;tumor;['tumor'];tumor;100.0;['cancer', 'mass', 'pneumonia', 'stroke', 'stomach', 'virus', 'seizure', 'liver', 'kidney', 'disease'];cancer;18
House;472;Melancholy without hope.;Melancholy;['sadness'];sadness;15.0;['Death', 'Life', 'Living', 'Happiness', 'Lives', 'Live', 'Suicide', 'Sad', 'immortality', 'Magic'];Death;40
House;503;How do you solve a problem like dermatitis?;dermatitis;['skin inflammation'];skin inflammation;11.0;['cancer', 'depression', 'skin', 'diabetes', 'pain', 'infection', 'pneumonia', 'anxiety', 'malaria', 'tuberculosis'];depression;46
House;520;Sister, you're having an asthma attack.;asthma;['asthma', 'bronchitic asthma'];asthma;100.0;['anxiety', 'heart', 'eye', 'acid', 'insulin', 'arm', 'panic', 'MI', 'stomach', 'infection'];anxiety;31
House;542;You diagnosed the patient with allergies and prescribed antihistamine.;allergies;['allergy', 'hypersensitivity', 'hypersensitivity symptom'];allergy;100.0;['depression', 'confusion', 'fever', 'pain', 'pneumonia', 'diabetes', 'cough', 'symptoms', 'medications', 'anxiety'];depression;29
House;568;That could manifest with tachycardia.;tachycardia;['rapid heartbeat', 'rapid and irregular heartbeat'];rapid heartbeat;31.0;['nausea', 'anxiety', 'fever', 'agitation', 'cough', 'fatigue', 'activity', 'sleep', 'rate', 'CP'];anxiety;22
House;569;There's no history of fever.;fever;['fever', 'hyperthermic', 'feverish', 'fever symptoms'];fever;100.0;['cough', 'seizure', 'trauma', 'infection', 'pneumonia', 'pain', 'falls', 'bleeding', 'travel', 'headache'];infection;36
House;589;Isn't the prognosis for Churg-Strauss a bit grim?;Churg-Strauss;['churg-strauss syndrome', 'churg strauss'];churg-strauss syndrome;76.0;['surgery', 'life', 'cancer', 'infection', 'patient', 'death', 'transplant', 'procedure', 'family', 'pneumonia'];cancer;21
House;650;"""Bloody diarrhea, gas, pain.";diarrhea;['diarrhea', 'diarrhea symptoms'];diarrhea;100.0;['stool', 'urine', 'cough', 'vomit', 'nose', 'fluid', 'movements', 'discharge', 'output', 'blood'];urine;17
House;713;It could be something else-- thyrotoxicosis or a carcinoid.;thyrotoxicosis;"['thyrotoxicosis', ""graves' disease"", 't3 thyrotoxicosis']";thyrotoxicosis;100.0;['diabetes', 'liver', 'inflammation', 'pneumonia', 'tuberculosis', 'fatty', 'thy', 'HIV', 'cancer', 'inflammatory'];diabetes;11
House;832;Pulmonary problems, breathing problems.;Pulmonary;[];;;['heart', 'liver', 'kidney', 'cardiac', 'lung', 'respiratory', 'skin', 'stomach', 'abdominal', 'joint'];heart;29
House;851;Pneumonitis from the hyperbaric chamber.;Pneumonitis;['pneumonia', 'pulmonitis', 'pneumococcal pneumonia'];pneumonia;88.0;['discharge', 'drainage', 'fluid', 'bleeding', 'irritation', 'leak', 'infection', 'blood', 'Blood', 'artifact'];infection;31
House;855;Could be from the hypotensive episode.;hypotensive;['hypotensive'];hypotensive;100.0;['acute', 'bleeding', 'prior', 'coughing', 'seizure', 'pressure', 'stress', 'cardiac', 'recent', 'cooling'];acute;17
House;953;She's starting to run a fever, and the rash is spreading.;fever;['fever', 'hyperthermic', 'feverish', 'fever symptoms'];fever;100.0;['cough', 'cold', 'headache', 'chill', 'sweat', 'seizure', 'temperature', 'flu', 'lot', 'murmur'];headache;17
House;974;All the rest of the symptoms can be explained by a severe long-term allergic reaction.;allergic;['allergy', 'hypersensitivity symptom', 'hypersensitivity'];allergy;92.0;['drug', 'systemic', 'inflammatory', 'stress', 'medication', 'adverse', 'reaction', 'immune', 'skin', 'chemical'];drug;40
House;988;It caused her arrhythmia.;arrhythmia;['Abnormal heart rhythms'];Abnormal heart rhythms;55.0;['nausea', 'confusion', 'weakness', 'anxiety', 'fatigue', 'pain', 'arrest', 'death', 'seizure', 'depression'];anxiety;35
House;1006;Once we isolate what's causing your allergy, then we can be a little more lax.;allergy;['allergy', 'hypersensitivity', 'hypersensitivity symptom'];allergy;100.0;['symptoms', 'reaction', 'pain', 'disease', 'fever', 'confusion', 'reactions', 'illness', 'toxicity', 'tolerance'];symptoms;0
House;1031;As long as she's not exposed to anything that can aggravate her allergy, she'll be fine.;allergy;['allergy', 'hypersensitivity', 'hypersensitivity symptom'];allergy;100.0;['symptoms', 'reaction', 'tolerance', 'disease', 'sensitivity', 'reactions', 'toxicity', 'condition', 'pain', 'illness'];symptoms;0
House;1050;It can cause anaphylaxis.;anaphylaxis;['allergic shock'];allergic shock;18.0;['nausea', 'anxiety', 'confusion', 'pain', 'agitation', 'depression', 'headache', 'bleeding', 'cough', 'fever'];nausea;38
House;1109;It would have been easier to deal with a tumor.;tumor;['tumor'];tumor;100.0;['mass', 'cancer', 'pneumonia', 'stomach', 'stroke', 'liver', 'virus', 'kidney', 'seizure', 'bleed'];cancer;18
House;1307;It's not clinical depression.;depression;['depressive disorder', 'mental depression', 'sadness', 'depression nos'];depressive disorder;67.0;['anxiety', 'distress', 'mood', 'change', 'disorder', 'agitation', 'status', 'sleep', 'diagnosis', 'picture'];anxiety;14
House;1343;Hypersomnia and personality changes point toward the brain.;Hypersomnia;['hypersomnia', 'hypersomnolence'];hypersomnia;100.0;['Depression', 'anxiety', 'mood', 'depression', 'MS', 'confusion', 'agitation', 'Sleep', 'Pain', 'Memory'];Depression;33
House;1348;No other systemic signs of inflammation.;inflammation;['inflammation'];inflammation;100.0;['infection', 'disease', 'bleeding', 'pneumonia', 'injury', 'congestion', 'process', 'infections', 'bleed', 'illness'];disease;31
House;1349;Probably not vasculitis.;vasculitis;['infection of the blood vessel'];infection of the blood vessel;24.0;['infectious', 'infection', 'infected', 'reactive', 'pneumonia', 'bleeding', 'acute', 'resolved', 'active', 'clear'];infection;17
House;1357;Has to be a tumor then.;tumor;['tumor'];tumor;100.0;['cancer', 'mass', 'child', 'liver', 'brain', 'virus', 'kidney', 'heart', 'stroke', 'lung'];cancer;18
House;1358;A tumor sitting directly on top of the brain stem... that three E.R. doctors, two neurologists and a radiologist missed?;tumor;['tumor'];tumor;100.0;['mass', 'cancer', 'brain', 'lump', 'node', 'region', 'focus', 'specimen', 'lung', 'Tu'];brain;20
House;1393;Can I get a page on Dr. Wilson?;Wilson;['hepatolenticular degeneration'];hepatolenticular degeneration;13.0;['hand', 'confusion', 'cough', 'read', 'face', 'work', 'car', 'room', 'pen', 'patient'];hand;20
House;1399;Some tumors are almost impossible to see unless you know exactly where to look.;tumors;['tumor'];tumor;100.0;['lesions', 'glands', 'things', 'areas', 'organs', 'nodes', 'vessels', 'cells', 'people', 'diseases'];lesions;18
House;1402;If it's a tumor, there are a variety of treatment options, but there are variables other than just size.;tumor;['tumor'];tumor;100.0;['cancer', 'mass', 'liver', 'kidney', 'disease', 'lung', 'child', 'virus', 'brain', 'stroke'];cancer;18
House;1463;It's not a tumor.;tumor;['tumor'];tumor;100.0;['cancer', 'mass', 'virus', 'heart', 'kidney', 'bleed', 'liver', 'muscle', 'bullet', 'drain'];cancer;18
House;1464;A small glioma could hide from contrast.;glioma;['glioma', 'malignant glioma', 'mixed glioma'];glioma;100.0;['mass', 'vessel', 'tumor', 'bleed', 'node', 'kidney', 'area', 'liver', 'AAA', 'focus'];tumor;18
House;1468;A glioma not presenting on a contrast M.R.I. would have to be smaller than a grain of sand, which does not a gravely ill person make.;glioma;['glioma', 'malignant glioma', 'mixed glioma'];glioma;100.0;['mass', 'tumor', 'cancer', 'brain', 'lump', 'stomach', 'kidney', 'patient', 'mole', 'node'];brain;18
House;1487;There are molecular similarities between brain cells and tumor cells.;tumor;['tumor'];tumor;100.0;['cancer', 'blood', 'lung', 'muscle', 'plasma', 'stem', 'liver', 'fat', 'inflammatory', 'normal'];cancer;18
House;1489;They end up attacking the brain instead of the tumor.;tumor;['tumor'];tumor;100.0;['liver', 'lung', 'heart', 'brain', 'muscle', 'blood', 'bone', 'cancer', 'stomach', 'body'];brain;20
