origin;sent_id;sentence;source_term;CHV_selection;CHV_substitution;CHV_sim_score;MLM_selection;MLM_substitution;MLM_sim_score
wiki_fully;6;In 1920, the Bucks had a daughter, Carol, afflicted with phenylketonuria.;phenylketonuria;['phenylketonuria (PKU)', 'dhpr deficiency', 'hyperphenylalaninemia'];phenylketonuria (PKU);88.0;['depression', 'diabetes', 'pneumonia', 'HIV', 'cocaine', 'seizure', 'anxiety', 'cancer', 'alcohol', 'marijuana'];depression;18
wiki_fully;11;Unable to function, the muscles weaken and exhibit atrophy.;atrophy;['atrophy', 'atrophic'];atrophy;100.0;['wasting', 'weakness', 'fatigue', 'swelling', 'relaxation', 'fusion', 'age', 'confusion', 'inflammation', 'tingling'];weakness;18
wiki_fully;12;"About 75% of people contracting the disease experience ""limb onset"" ALS, i.e., first symptoms in the arms or legs.";ALS;"[""Lou Gehrig's disease (ALS)""]";Lou Gehrig's disease (ALS);17.0;['symptoms', 'pains', 'syndrome', 'strokes', 'diseases', 'reactions', 'pain', 'disease', 'weakness', 'attacks'];symptoms;0
wiki_fully;16;North America and Australia have been free of FMD for many years.;FMD;['fibromuscular dysplasia'];fibromuscular dysplasia;15.0;['lesions', 'pain', 'disease', 'falls', 'bleeding', 'symptoms', 'infection', 'cancer', 'stool', 'seizure'];disease;22
wiki_fully;19;There is an increased risk of STI transmission if the receiving partner has wounds on his genitals, or if the giving partner has wounds or open sores on or in his or her mouth, or bleeding gums.;STI;['sexually transmitted diseases (STDs)'];sexually transmitted diseases (STDs);21.0;['sexual', 'HIV', 'direct', 'vertical', 'sexually', 'oral', 'onward', 'horizontal', 'disease', 'virus'];sexual;22
wiki_fully;34;Rarely very low blood pressure may be the only sign of anaphylaxis.;anaphylaxis;['allergic shock'];allergic shock;18.0;['anxiety', 'depression', 'infection', 'withdrawal', 'nausea', 'bleeding', 'pain', 'confusion', 'agitation', 'death'];infection;12
wiki_fully;39;Worldwide, 0.05-2% of the population is estimated to have anaphylaxis at some point in life, and rates appear to be increasing.;anaphylaxis;['allergic shock'];allergic shock;18.0;['diabetes', 'bleeding', 'pneumonia', 'depression', 'fever', 'nausea', 'antibodies', 'resolved', 'seizure', 'HIV'];diabetes;12
wiki_fully;53;On a mechanistic level, anaphylaxis is caused by the release of mediators from certain types of white blood cells triggered either by immunologic or non-immunologic mechanisms.;anaphylaxis;['allergic shock'];allergic shock;18.0;['anxiety', 'pain', 'depression', 'confusion', 'reaction', 'nausea', 'inflammation', 'infection', 'pneumonia', 'agitation'];anxiety;47
wiki_fully;59;Adenocarcinoma arises from glandular cells that are present at the junction of the esophagus and stomach.;Adenocarcinoma;['adenocarcinoma', 'hurthle cell carcinoma', 'basal cell adenocarcinoma', 'tubular carcinoma', 'cribriform carcinoma'];adenocarcinoma;100.0;['tumor', 'Secondary', 'Cancer', 'Primary', 'inflammation', 'Invasion', 'cancer', 'invasion', 'Blood', 'Occasionally'];tumor;21
wiki_fully;72;A hemophiliac does not bleed more intensely than a person without it, but can bleed for a much longer time.;hemophiliac;['hemophilia'];hemophilia;95.0;['friend', 'woman', 'brother', 'male', 'female', 'gentleman', 'child', 'man', 'sibling', 'physician'];female;38
wiki_fully;78;Based on evidence of osteoarthritis in the lumbar vertebrae, eburnation, and severe wear on the teeth with pulp exposure, it seems likely that LM3 was quite old (around 50 years old) when he died.;osteoarthritis;['osteoarthritis', 'kaschin-beck disease'];osteoarthritis;100.0;['fracture', 'pain', 'inflammation', 'swelling', 'compression', 'trauma', 'infection', 'instrumentation', 'fluid', 'hardware'];pain;14
wiki_fully;83;The ancient Chinese medical doctors developed the practice of variolation following a smallpox epidemic around 1000 BC.;smallpox;['smallpox disease', 'alastrim'];smallpox disease;70.0;['viral', 'flu', 'small', 'cold', 'virus', 'large', 'smoke', 'lung', 'respiratory', 'pulmonary'];viral;31
