origin;sent_id;sentence;source_term;CHV_selection;CHV_substitution;sim_scores
House;56;That could manifest with hypo-cardio.;hypo-cardio;[];;
House;346;We'll skin test for allergies.;allergies;['allergy', 'hypersensitivity', 'hypersensitivity symptom'];allergy;100.0
House;415;Would've been easier to deal with a tumor.;tumor;['tumor'];tumor;100.0
House;472;Melancholy without hope.;Melancholy;['sadness'];sadness;15.0
House;520;Sister, you're having an asthma attack.;asthma;['asthma', 'bronchitic asthma'];asthma;100.0
House;542;You diagnosed the patient with allergies and prescribed antihistamine.;allergies;['allergy', 'hypersensitivity', 'hypersensitivity symptom'];allergy;100.0
House;569;There's no history of fever.;fever;['fever', 'hyperthermic', 'feverish', 'fever symptoms'];fever;100.0
House;650;"""Bloody diarrhea, gas, pain.";diarrhea;['diarrhea', 'diarrhea symptoms'];diarrhea;100.0
House;713;It could be something else-- thyrotoxicosis or a carcinoid.;thyrotoxicosis;"['thyrotoxicosis', ""graves' disease"", 't3 thyrotoxicosis']";thyrotoxicosis;100.0
House;832;Pulmonary problems, breathing problems.;Pulmonary;[];;
House;851;Pneumonitis from the hyperbaric chamber.;Pneumonitis;['pneumonia', 'pulmonitis', 'pneumococcal pneumonia'];pneumonia;88.0
House;855;Could be from the hypotensive episode.;hypotensive;['hypotensive'];hypotensive;100.0
House;953;She's starting to run a fever, and the rash is spreading.;fever;['fever', 'hyperthermic', 'feverish', 'fever symptoms'];fever;100.0
House;974;All the rest of the symptoms can be explained by a severe long-term allergic reaction.;allergic;['allergy', 'hypersensitivity symptom', 'hypersensitivity'];allergy;92.0
House;1006;Once we isolate what's causing your allergy, then we can be a little more lax.;allergy;['allergy', 'hypersensitivity', 'hypersensitivity symptom'];allergy;100.0
House;1031;As long as she's not exposed to anything that can aggravate her allergy, she'll be fine.;allergy;['allergy', 'hypersensitivity', 'hypersensitivity symptom'];allergy;100.0
House;1109;It would have been easier to deal with a tumor.;tumor;['tumor'];tumor;100.0
House;1343;Hypersomnia and personality changes point toward the brain.;Hypersomnia;['hypersomnia', 'hypersomnolence'];hypersomnia;100.0
House;1348;No other systemic signs of inflammation.;inflammation;['inflammation'];inflammation;100.0
House;1357;Has to be a tumor then.;tumor;['tumor'];tumor;100.0
