origin;sent_id;sentence;source_term;CHV_selection;CHV_substitution;sim_scores
House;56;That could manifest with hypo-cardio.;hypo-cardio;[];;
House;180;And we can't go there because of the encephalitis.;encephalitis;['brain inflammation', 'rasmussen encephalitis'];brain inflammation;11.0
House;346;We'll skin test for allergies.;allergies;['allergy', 'hypersensitivity', 'hypersensitivity symptom'];allergy;100.0
House;415;Would've been easier to deal with a tumor.;tumor;['tumor'];tumor;100.0
House;472;Melancholy without hope.;Melancholy;['sadness'];sadness;15.0
House;503;How do you solve a problem like dermatitis?;dermatitis;['skin inflammation'];skin inflammation;11.0
House;520;Sister, you're having an asthma attack.;asthma;['asthma', 'bronchitic asthma'];asthma;100.0
House;542;You diagnosed the patient with allergies and prescribed antihistamine.;allergies;['allergy', 'hypersensitivity', 'hypersensitivity symptom'];allergy;100.0
House;568;That could manifest with tachycardia.;tachycardia;['rapid heartbeat', 'rapid and irregular heartbeat'];rapid heartbeat;31.0
House;569;There's no history of fever.;fever;['fever', 'hyperthermic', 'feverish', 'fever symptoms'];fever;100.0
House;589;Isn't the prognosis for Churg-Strauss a bit grim?;Churg-Strauss;['churg-strauss syndrome', 'churg strauss'];churg-strauss syndrome;76.0
House;650;"""Bloody diarrhea, gas, pain.";diarrhea;['diarrhea', 'diarrhea symptoms'];diarrhea;100.0
House;713;It could be something else-- thyrotoxicosis or a carcinoid.;thyrotoxicosis;"['thyrotoxicosis', ""graves' disease"", 't3 thyrotoxicosis']";thyrotoxicosis;100.0
House;832;Pulmonary problems, breathing problems.;Pulmonary;[];;
House;851;Pneumonitis from the hyperbaric chamber.;Pneumonitis;['pneumonia', 'pulmonitis', 'pneumococcal pneumonia'];pneumonia;88.0
House;855;Could be from the hypotensive episode.;hypotensive;['hypotensive'];hypotensive;100.0
House;953;She's starting to run a fever, and the rash is spreading.;fever;['fever', 'hyperthermic', 'feverish', 'fever symptoms'];fever;100.0
House;974;All the rest of the symptoms can be explained by a severe long-term allergic reaction.;allergic;['allergy', 'hypersensitivity symptom', 'hypersensitivity'];allergy;92.0
House;988;It caused her arrhythmia.;arrhythmia;['Abnormal heart rhythms'];Abnormal heart rhythms;55.0
House;1006;Once we isolate what's causing your allergy, then we can be a little more lax.;allergy;['allergy', 'hypersensitivity', 'hypersensitivity symptom'];allergy;100.0
House;1031;As long as she's not exposed to anything that can aggravate her allergy, she'll be fine.;allergy;['allergy', 'hypersensitivity', 'hypersensitivity symptom'];allergy;100.0
House;1050;It can cause anaphylaxis.;anaphylaxis;['allergic shock'];allergic shock;18.0
House;1109;It would have been easier to deal with a tumor.;tumor;['tumor'];tumor;100.0
House;1307;It's not clinical depression.;depression;['depressive disorder', 'mental depression', 'sadness', 'depression nos'];depressive disorder;67.0
House;1343;Hypersomnia and personality changes point toward the brain.;Hypersomnia;['hypersomnia', 'hypersomnolence'];hypersomnia;100.0
House;1348;No other systemic signs of inflammation.;inflammation;['inflammation'];inflammation;100.0
House;1349;Probably not vasculitis.;vasculitis;['infection of the blood vessel'];infection of the blood vessel;24.0
House;1357;Has to be a tumor then.;tumor;['tumor'];tumor;100.0
House;1358;A tumor sitting directly on top of the brain stem... that three E.R. doctors, two neurologists and a radiologist missed?;tumor;['tumor'];tumor;100.0
House;1393;Can I get a page on Dr. Wilson?;Wilson;['hepatolenticular degeneration'];hepatolenticular degeneration;13.0
House;1399;Some tumors are almost impossible to see unless you know exactly where to look.;tumors;['tumor'];tumor;100.0
House;1402;If it's a tumor, there are a variety of treatment options, but there are variables other than just size.;tumor;['tumor'];tumor;100.0
House;1463;It's not a tumor.;tumor;['tumor'];tumor;100.0
House;1464;A small glioma could hide from contrast.;glioma;['glioma', 'malignant glioma', 'mixed glioma'];glioma;100.0
House;1468;A glioma not presenting on a contrast M.R.I. would have to be smaller than a grain of sand, which does not a gravely ill person make.;glioma;['glioma', 'malignant glioma', 'mixed glioma'];glioma;100.0
House;1487;There are molecular similarities between brain cells and tumor cells.;tumor;['tumor'];tumor;100.0
House;1489;They end up attacking the brain instead of the tumor.;tumor;['tumor'];tumor;100.0
House;1490;So, if you do find a tumor, what do you do?;tumor;['tumor'];tumor;100.0
House;1491;We treat the underlying malignancy.;malignancy;['cancer', 'primary cancer'];cancer;33.0
House;1492;Once there's no tumor to attack, there's nothing for the antibodies to get confused about.;tumor;['tumor'];tumor;100.0
House;1493;If the tumor's treatable.;tumor;['tumor'];tumor;100.0
House;1513;Sometimes it presents with no tumor at all.;tumor;['tumor'];tumor;100.0
House;1516;And how do you treat it if there's no tumor?;tumor;['tumor'];tumor;100.0
House;1519;They were too busy looking for the tumor-- right till they put the patient in the ground.;tumor;['tumor'];tumor;100.0
House;1523;So we're just gonna ignore the tumor?;tumor;['tumor'];tumor;100.0
House;1649;For a diagnosis of tularemia you need a fourfold increase in serum antibody levels.;tularemia;['tularemia'];tularemia;100.0
House;1668;Foreman got the gang testing for tularemia?;tularemia;['tularemia'];tularemia;100.0
House;1852;There's only one way a tularemia patient goes into a coma... while on I.V. chloramphenicol.;tularemia;['tularemia'];tularemia;100.0
House;1853;The patient doesn't have tularemia.;tularemia;['tularemia'];tularemia;100.0
House;1858;We still have the problem of explaining how a white chick from Jersey... who's never traveled south of D.C. has African sleeping sickness.;sickness;['illness', 'altitude sickness'];illness;29.0
House;1960;Her fever spiked at 104.;fever;['fever', 'hyperthermic', 'feverish', 'fever symptoms'];fever;100.0
House;1961;Echo shows global hyperkinesis.;hyperkinesis;['hyperactive', 'hyperactive behavior', 'attention deficit disorder', 'minimal brain dysfunction', 'attention deficit(hyper) disorder', 'attention deficit hyperactivity disorder (ADHD)'];hyperactive behavior;36.0
House;2004;A tumor sitting directly on top of the brain stem... that three E.R. Doctors, two neurologists and a radiologist missed?;tumor;['tumor'];tumor;100.0
House;2016;A glioma not presenting on a contrast M.R.I. Would have to be smaller than a grain of sand, which does not a gravely ill person make.;glioma;['glioma', 'malignant glioma', 'mixed glioma'];glioma;100.0
