origin;sent_id;sentence;BERN_extracted_ngram;MESHtoCUIs;BERN_CUI_to_CHV_ID;BERN_CHV_terms;BERN_CHV_freq_scores;exact_match_CUIs;exact_match_CUI_to_CHV_ID;exact_match_CHV_terms;exact_match_CHV_freq_scores;qumls_CUIs;qumls_CUI_to_CHV_ID;qumls_CHV_terms;qumls_CHV_freq_scores;CHV_selection;CHV_substitution;sim_scores
House;56;That could manifest with hypo-cardio.;hypo-cardio;[];[];[];[];[];[];[];[];[];[];[];[];[];;
House;180;And we can't go there because of the encephalitis.;encephalitis;['C0014038', 'C0393484'];[['0000004414'], ['0000032207']];[['brain inflammation'], ['rasmussen encephalitis']];[[-1.0], [-1.0]];['C0014038'];[['0000004414']];[['brain inflammation']];[[-1.0]];['C0014038'];[['0000004414']];[['brain inflammation']];[[-1.0]];['brain inflammation', 'rasmussen encephalitis'];brain inflammation;11.0
House;346;We'll skin test for allergies.;allergies;['C0020517', 'C1527304'];[['0000006439', '0000050654', '0000057872'], []];[['allergy', 'hypersensitivity symptom', 'hypersensitivity'], []];[[0.836777069, -1.0, 0.310206981], []];['C0020517'];[['0000006439', '0000050654', '0000057872']];[['allergy', 'hypersensitivity symptom', 'hypersensitivity']];[[0.836777069, -1.0, 0.310206981]];['C0020517'];[['0000006439', '0000050654', '0000057872']];[['allergy', 'hypersensitivity symptom', 'hypersensitivity']];[[0.836777069, -1.0, 0.310206981]];['allergy', 'hypersensitivity', 'hypersensitivity symptom'];allergy;100.0
House;415;Would've been easier to deal with a tumor.;tumor;[];[];[];[];['C0027651', 'C3273930', 'C1578706'];[['0000008566'], []];[['tumor'], []];[[0.802496993], []];['C0027651'];[['0000008566']];[['tumor']];[[0.802496993]];['tumor'];tumor;100.0
House;472;Melancholy without hope.;Melancholy;[];[];[];[];['C0344315'];[['0000030931']];[['sadness']];[[0.481935087]];[];[];[];[];['sadness'];sadness;15.0
House;503;How do you solve a problem like dermatitis?;dermatitis;['C0011603'];[['0000003790']];[['skin inflammation']];[[0.540019521]];['C0011603'];[['0000003790']];[['skin inflammation']];[[0.540019521]];['C0011603'];[['0000003790']];[['skin inflammation']];[[0.540019521]];['skin inflammation'];skin inflammation;11.0
House;520;Sister, you're having an asthma attack.;asthma;['C0004096'];[['0000001541', '0000050455']];[['asthma', 'bronchitic asthma']];[[0.86018714, -1.0]];['C0004096', 'C2984299'];[['0000001541', '0000050455']];[['asthma', 'bronchitic asthma']];[[0.86018714, -1.0]];['C0004096'];[['0000001541', '0000050455']];[['asthma', 'bronchitic asthma']];[[0.86018714, -1.0]];['asthma', 'bronchitic asthma'];asthma;100.0
House;542;You diagnosed the patient with allergies and prescribed antihistamine.;allergies;['C0020517', 'C1527304'];[['0000006439', '0000050654', '0000057872'], []];[['allergy', 'hypersensitivity symptom', 'hypersensitivity'], []];[[0.836777069, -1.0, 0.310206981], []];['C0020517'];[['0000006439', '0000050654', '0000057872']];[['allergy', 'hypersensitivity symptom', 'hypersensitivity']];[[0.836777069, -1.0, 0.310206981]];['C0020517'];[['0000006439', '0000050654', '0000057872']];[['allergy', 'hypersensitivity symptom', 'hypersensitivity']];[[0.836777069, -1.0, 0.310206981]];['allergy', 'hypersensitivity', 'hypersensitivity symptom'];allergy;100.0
House;568;That could manifest with tachycardia.;tachycardia;['C0080203', 'C0039231'];[['0000015314'], ['0000015314', '0000012006']];[['rapid and irregular heartbeat'], ['rapid and irregular heartbeat', 'rapid heartbeat']];[[-1.0], [-1.0, 0.509892347]];['C0039231', 'C3827868'];[['0000015314', '0000012006'], []];[['rapid and irregular heartbeat', 'rapid heartbeat'], []];[[-1.0, 0.509892347], []];['C0039231', 'C3827868', 'C0039231', 'C3827868'];[['0000015314', '0000012006'], [], ['0000015314', '0000012006'], []];[['rapid and irregular heartbeat', 'rapid heartbeat'], [], ['rapid and irregular heartbeat', 'rapid heartbeat'], []];[[-1.0, 0.509892347], [], [-1.0, 0.509892347], []];['rapid heartbeat', 'rapid and irregular heartbeat'];rapid heartbeat;31.0
House;569;There's no history of fever.;fever;['C0015967'];[['0000005010', '0000022654', '0000022653']];[['fever', 'hyperthermic', 'feverish']];[[0.817293983, -1.0, -1.0]];['C0015967', 'C0424755'];[['0000005010', '0000022654', '0000022653'], ['0000033391']];[['fever', 'hyperthermic', 'feverish'], ['fever symptoms']];[[0.817293983, -1.0, -1.0], [0.54892969]];['C0015967'];[['0000005010', '0000022654', '0000022653']];[['fever', 'hyperthermic', 'feverish']];[[0.817293983, -1.0, -1.0]];['fever', 'hyperthermic', 'feverish', 'fever symptoms'];fever;100.0
