origin;sent_id;sentence;source_term;CHV_selection;CHV_substitution;sim_scores
House;54;If you haven't found an underlying cause for the cardiac arrest by then, I will have to notify our attorneys.;cardiac arrest;['cardiac arrest', 'heart arrest', 'cardiopulmonary arrest'];cardiac arrest;100.0
House;56;That could manifest with hypo-cardio.;hypo-cardio;[];;
House;60;It's no allergic, and allergies don't cause cardiac arrest like this.;cardiac arrest;['cardiac arrest', 'heart arrest', 'cardiopulmonary arrest'];cardiac arrest;100.0
House;112;Studies have shown that cigarette smoking is one of the most effective ways to control inflammatory bowel.;inflammatory bowel;['inflammatory bowel disease'];inflammatory bowel disease;84.0
House;154;Smells, religious visions, symptomatic type of lobe swelling.;lobe swelling;['swelling', 'swelling due to excess fluid'];swelling;67.0
House;180;And we can't go there because of the encephalitis.;encephalitis;['brain inflammation', 'rasmussen encephalitis'];brain inflammation;11.0
House;261;They cause lung cancer, you know.;lung cancer;['lung cancer', 'lung carcinoma', 'lung tumor'];lung cancer;100.0
House;301;When she had a cardiac arrest, I had to open her blouse to do CPR.;cardiac arrest;['cardiac arrest', 'heart arrest', 'cardiopulmonary arrest'];cardiac arrest;100.0
House;336;And if you take the cardiac arrest out of the equation... all the rest of the symptoms can be explained by a severe long-term allergic reaction.;cardiac arrest;['cardiac arrest', 'heart arrest', 'cardiopulmonary arrest'];cardiac arrest;100.0
House;339;'Cause it's been untreated for so long, it's gone from a simple watery eyes, scratchy throat allergy to a whopping I'm-gonna-kick-your-ass allergy.;scratchy throat allergy;['allergy', 'hypersensitivity', 'hypersensitivity symptom'];allergy;47.0
House;346;We'll skin test for allergies.;allergies;['allergy', 'hypersensitivity', 'hypersensitivity symptom'];allergy;100.0
House;384;Well, it could bemast cell leukemia.;cell leukemia;['chronic lymphocytic leukemia (cll)', 'b-cell leukemia', 'b-cell cll', 't-cell leukemia'];chronic lymphocytic leukemia (cll);56.0
House;415;Would've been easier to deal with a tumor.;tumor;['tumor'];tumor;100.0
House;472;Melancholy without hope.;Melancholy;['sadness'];sadness;15.0
House;503;How do you solve a problem like dermatitis?;dermatitis;['skin inflammation'];skin inflammation;11.0
House;520;Sister, you're having an asthma attack.;asthma;['asthma', 'bronchitic asthma'];asthma;100.0
House;542;You diagnosed the patient with allergies and prescribed antihistamine.;allergies;['allergy', 'hypersensitivity', 'hypersensitivity symptom'];allergy;100.0
House;563;If you haven't found an underlying cause for the cardiac arrest by then,;cardiac arrest;['cardiac arrest', 'heart arrest', 'cardiopulmonary arrest'];cardiac arrest;100.0
House;566;Maybe she has a skin infection.;skin infection;['infectious skin disease'];infectious skin disease;73.0
House;568;That could manifest with tachycardia.;tachycardia;['rapid heartbeat', 'rapid and irregular heartbeat'];rapid heartbeat;31.0
House;569;There's no history of fever.;fever;['fever', 'hyperthermic', 'feverish', 'fever symptoms'];fever;100.0
House;575;Allergies don't cause cardiac arrest like this.;cardiac arrest;['cardiac arrest', 'heart arrest', 'cardiopulmonary arrest'];cardiac arrest;100.0
House;589;Isn't the prognosis for Churg-Strauss a bit grim?;Churg-Strauss;['churg-strauss syndrome', 'churg strauss'];churg-strauss syndrome;76.0
House;650;"""Bloody diarrhea, gas, pain.";diarrhea;['diarrhea', 'diarrhea symptoms'];diarrhea;100.0
House;668;Studies have shown that cigarette smoking... is one of the most effective ways to control inflammatory bowel.;inflammatory bowel;['inflammatory bowel disease'];inflammatory bowel disease;84.0
