origin;sent_id;sentence;BERN_extracted_ngram;MESHtoCUIs;BERN_CUI_to_CHV_ID;BERN_CHV_terms;BERN_CHV_freq_scores;exact_match_CUIs;exact_match_CUI_to_CHV_ID;exact_match_CHV_terms;exact_match_CHV_freq_scores;qumls_CUIs;qumls_CUI_to_CHV_ID;qumls_CHV_terms;qumls_CHV_freq_scores;CHV_selection;CHV_substitution;sim_scores
House;54;If you haven't found an underlying cause for the cardiac arrest by then, I will have to notify our attorneys.;cardiac arrest;['C0600228', 'C0018790'];[['0000042212'], ['0000023828', '0000005867']];[['cardiopulmonary arrest'], ['cardiac arrest', 'cardiac arrest', 'heart arrest']];[[0.468806923], [0.640108617, -1.0, -1.0]];['C0018790'];[['0000023828', '0000005867']];[['cardiac arrest', 'cardiac arrest', 'heart arrest']];[[0.640108617, -1.0, -1.0]];['C0018790', 'C1410098'];[['0000023828', '0000005867'], []];[['cardiac arrest', 'cardiac arrest', 'heart arrest'], []];[[0.640108617, -1.0, -1.0], []];['cardiac arrest', 'heart arrest', 'cardiopulmonary arrest'];cardiac arrest;100.0
House;56;That could manifest with hypo-cardio.;hypo-cardio;[];[];[];[];[];[];[];[];[];[];[];[];[];;
House;60;It's no allergic, and allergies don't cause cardiac arrest like this.;cardiac arrest;['C0600228', 'C0018790'];[['0000042212'], ['0000023828', '0000005867']];[['cardiopulmonary arrest'], ['cardiac arrest', 'cardiac arrest', 'heart arrest']];[[0.468806923], [0.640108617, -1.0, -1.0]];['C0018790'];[['0000023828', '0000005867']];[['cardiac arrest', 'cardiac arrest', 'heart arrest']];[[0.640108617, -1.0, -1.0]];['C0018790', 'C1410098'];[['0000023828', '0000005867'], []];[['cardiac arrest', 'cardiac arrest', 'heart arrest'], []];[[0.640108617, -1.0, -1.0], []];['cardiac arrest', 'heart arrest', 'cardiopulmonary arrest'];cardiac arrest;100.0
House;112;Studies have shown that cigarette smoking is one of the most effective ways to control inflammatory bowel.;inflammatory bowel;['C0021390'];[['0000006707']];[['inflammatory bowel disease']];[[0.753990076]];[];[];[];[];['C0021853'];[];[];[];['inflammatory bowel disease'];inflammatory bowel disease;84.0
House;154;Smells, religious visions, symptomatic type of lobe swelling.;lobe swelling;[];[];[];[];[];[];[];[];['C0038999', 'C0796494'];[['0000011957', '0000004269']];[['swelling', 'swelling due to excess fluid']];[[0.705178112, -1.0]];['swelling', 'swelling due to excess fluid'];swelling;67.0
House;180;And we can't go there because of the encephalitis.;encephalitis;['C0014038', 'C0393484'];[['0000004414'], ['0000032207']];[['brain inflammation'], ['rasmussen encephalitis']];[[-1.0], [-1.0]];['C0014038'];[['0000004414']];[['brain inflammation']];[[-1.0]];['C0014038'];[['0000004414']];[['brain inflammation']];[[-1.0]];['brain inflammation', 'rasmussen encephalitis'];brain inflammation;11.0
House;261;They cause lung cancer, you know.;lung cancer;['C0024121', 'C0242379'];[['0000007572'], ['0000024797']];[['lung tumor'], ['lung cancer']];[[0.569396448], [0.924595378]];['C0684249', 'C0242379', 'C1306460'];[['0000043964'], ['0000024797'], []];[['lung carcinoma'], ['lung cancer'], []];[[0.510461856], [0.924595378], []];['C0242379', 'C0684249', 'C0242379', 'C0242379', 'C0684249', 'C1306460'];[['0000024797'], ['0000043964'], ['0000024797'], ['0000024797'], ['0000043964'], []];[['lung cancer'], ['lung carcinoma'], ['lung cancer'], ['lung cancer'], ['lung carcinoma'], []];[[0.924595378], [0.510461856], [0.924595378], [0.924595378], [0.510461856], []];['lung cancer', 'lung carcinoma', 'lung tumor'];lung cancer;100.0
House;301;When she had a cardiac arrest, I had to open her blouse to do CPR.;cardiac arrest;['C0600228', 'C0018790'];[['0000042212'], ['0000023828', '0000005867']];[['cardiopulmonary arrest'], ['cardiac arrest', 'cardiac arrest', 'heart arrest']];[[0.468806923], [0.640108617, -1.0, -1.0]];['C0018790'];[['0000023828', '0000005867']];[['cardiac arrest', 'cardiac arrest', 'heart arrest']];[[0.640108617, -1.0, -1.0]];['C0018790', 'C1410098'];[['0000023828', '0000005867'], []];[['cardiac arrest', 'cardiac arrest', 'heart arrest'], []];[[0.640108617, -1.0, -1.0], []];['cardiac arrest', 'heart arrest', 'cardiopulmonary arrest'];cardiac arrest;100.0
House;336;And if you take the cardiac arrest out of the equation... all the rest of the symptoms can be explained by a severe long-term allergic reaction.;cardiac arrest;['C0600228', 'C0018790'];[['0000042212'], ['0000023828', '0000005867']];[['cardiopulmonary arrest'], ['cardiac arrest', 'cardiac arrest', 'heart arrest']];[[0.468806923], [0.640108617, -1.0, -1.0]];['C0018790'];[['0000023828', '0000005867']];[['cardiac arrest', 'cardiac arrest', 'heart arrest']];[[0.640108617, -1.0, -1.0]];['C0018790', 'C1410098'];[['0000023828', '0000005867'], []];[['cardiac arrest', 'cardiac arrest', 'heart arrest'], []];[[0.640108617, -1.0, -1.0], []];['cardiac arrest', 'heart arrest', 'cardiopulmonary arrest'];cardiac arrest;100.0
House;339;'Cause it's been untreated for so long, it's gone from a simple watery eyes, scratchy throat allergy to a whopping I'm-gonna-kick-your-ass allergy.;scratchy throat allergy;['C0020517', 'C1527304'];[['0000006439', '0000050654', '0000057872'], []];[['allergy', 'hypersensitivity symptom', 'hypersensitivity'], []];[[0.836777069, -1.0, 0.310206981], []];[];[];[];[];['C0020517', 'C0719113', 'C0719656', 'C0031354', 'C3665375', 'C0031354'];[['0000006439', '0000050654', '0000057872']];[['allergy', 'hypersensitivity symptom', 'hypersensitivity']];[[0.836777069, -1.0, 0.310206981]];['allergy', 'hypersensitivity', 'hypersensitivity symptom'];allergy;47.0
