origin;sent_id;sentence;source_term;CHV_selection;CHV_substitution;sim_scores
wiki_fully;11;Unable to function, the muscles weaken and exhibit atrophy.;atrophy;['atrophy', 'atrophic'];atrophy;100.0
wiki_fully;59;Adenocarcinoma arises from glandular cells that are present at the junction of the esophagus and stomach.;Adenocarcinoma;['adenocarcinoma', 'hurthle cell carcinoma', 'basal cell adenocarcinoma', 'tubular carcinoma', 'cribriform carcinoma'];adenocarcinoma;100.0
wiki_fully;72;A hemophiliac does not bleed more intensely than a person without it, but can bleed for a much longer time.;hemophiliac;['hemophilia'];hemophilia;95.0
wiki_fully;78;Based on evidence of osteoarthritis in the lumbar vertebrae, eburnation, and severe wear on the teeth with pulp exposure, it seems likely that LM3 was quite old (around 50 years old) when he died.;osteoarthritis;['osteoarthritis', 'kaschin-beck disease'];osteoarthritis;100.0
wiki_fully;101;In 1914 Adams's father died of a stroke.;stroke;['stroke', 'acute stroke'];stroke;100.0
wiki_fully;110;Sunderland, a main trading port at the time, was the first British town to be struck with the 'Indian cholera' epidemic.;cholera;['cholera'];cholera;100.0
wiki_fully;111;"Local government was divided between the three parishes (Holy Trinity Church, Sunderland, St. Michael's, Bishopwearmouth, and St. Peter's, Monkwearmouth) and when cholera broke out in 1831, the ""select vestrymen"", as the church councilmen were called, were unable to cope with the epidemic.";cholera;['cholera'];cholera;100.0
wiki_fully;112;Once at Richmond, Madison began drafting the Report, though he was delayed by a weeklong battle with dysentery.;dysentery;['dysentery', 'infectious diarrhea'];dysentery;100.0
wiki_fully;128;"By 1915, gangrene had set in and her entire right leg was amputated; she was required to use a wheelchair for several months.";gangrene;['gangrene'];gangrene;100.0
wiki_fully;140;The term epidemiology is now widely applied to cover the description and causation of not only epidemic disease, but of disease in general, and even many non-disease health-related conditions, such as high blood pressure and obesity.;obesity;['obesity'];obesity;100.0
wiki_fully;145;Dr. John Snow is famous for his investigations into the causes of the 19th century cholera epidemics, and is also known as the father of (modern) epidemiology.;cholera;['cholera'];cholera;100.0
wiki_fully;169;Neurologist Oliver Sacks states that chimpanzees and other animals show no similar appreciation of rhythm yet posits that human affinity for rhythm is fundamental, so that a person's sense of rhythm can not be lost (e.g. by stroke).;stroke;['stroke', 'acute stroke'];stroke;100.0
wiki_fully;181;In January 1925 doctors realized that a potentially deadly diphtheria epidemic was poised to sweep through Nome's young people.;diphtheria;['diphtheria'];diphtheria;100.0
wiki_fully;182;Sullivan, still believing his ailment to be yet another complication from a long-standing battle with ulcers, died five weeks later, on October 13, 1974, at New York's Lenox Hill Hospital.;ulcers;['ulcer'];ulcer;100.0
wiki_fully;228;This included a large medical bill for treatment of their gonorrhea and $ 21,000 for the accidental destruction of his uninsured car, which they borrowed.;gonorrhea;['gonorrhea', 'gonococcal'];gonorrhea;100.0
wiki_fully;263;In 1980, Shines' music was brought to a standstill when he suffered a stroke.;stroke;['stroke', 'acute stroke'];stroke;100.0
wiki_fully;264;Élisabeth Charlotte died of a stroke, on 23 December 1744, one week after her daughter-in-law and grandchild, at the age of sixty-eight.;stroke;['stroke', 'acute stroke'];stroke;100.0
wiki_fully;275;A significant event in the history of epidemiology and public health was Dr. John Snow's study of an 1854 outbreak of cholera in Soho.;cholera;['cholera'];cholera;100.0
wiki_fully;276;Science writer Steven Johnson describes the 2006 appearance of places related to the Broad Street Pump cholera outbreak: A replica of the pump, with a memorial plaque and without a handle (to signify John Snow's action to halt the outbreak) was erected near the location of the original pump.;cholera;['cholera'];cholera;100.0
wiki_fully;283;Misora died on June 24, 1989 from pneumonia at the age of 52, at a hospital in Tokyo.;pneumonia;['pneumonia', 'pulmonitis', 'pneumococcal pneumonia'];pneumonia;100.0
wiki_fully;284;Although lying with serious pneumonia, the prison doctor refused him the necessary medication claiming he was not worthy of it.;pneumonia;['pneumonia', 'pulmonitis', 'pneumococcal pneumonia'];pneumonia;100.0
wiki_fully;290;The family was apprehended in 1944 and Anne Frank died of typhus in the Bergen-Belsen concentration camp.;typhus;['typhus', 'typhoid fever', 'epidemic typhus'];typhus;100.0
wiki_fully;299;"Hypertrophy (from Greek ὑπέρ ""excess"" + τροφή ""nourishment"") is the increase in the volume of an organ or tissue due to the enlargement of its component cells.";Hypertrophy;['enlargement'];enlargement;24.0
wiki_fully;306;He compared the effects of various acidic substances, ranging from vinegar to cider, on groups of afflicted sailors, and found the group who were given oranges and lemons had largely recovered from scurvy after six days.;scurvy;['scurvy'];scurvy;100.0
wiki_fully;338;Surgical subspecialties include neurosurgery, ophthalmology, orthopedic surgery, (ENT) and facial plastic surgery, plastic surgery, thoracic surgery, transplantation, Trauma, urology, and vascular surgery.;Trauma;['trauma', 'injuries wounds', 'injury from an external force', 'physical wound'];trauma;100.0
wiki_fully;346;Menuhin died in Martin Luther Hospital, Berlin, Germany, from complications of bronchitis.;bronchitis;['bronchitis'];bronchitis;100.0
wiki_fully;347;In October 1836, after receiving his M.D. and being appointed by the University of Zurich as a lecturer in anatomy, Büchner relocated to Zurich where he spent his final months writing and teaching until his death from typhus at the age of twenty-three.;typhus;['typhus', 'typhoid fever', 'epidemic typhus'];typhus;100.0
wiki_fully;353;Ebsen died of pneumonia at Torrance Memorial Medical Center in Torrance, California, on July 6, 2003, at the age of 95.;pneumonia;['pneumonia', 'pulmonitis', 'pneumococcal pneumonia'];pneumonia;100.0
wiki_fully;355;In many cases the structure is of no direct harm, yet all structures require extra energy in terms of development, maintenance, and weight, and are also a risk in terms of disease (e.g., infection, cancer), providing some selective pressure for the removal of parts that do not contribute to an organism's fitness.;cancer;['cancer', 'primary cancer', 'spindle cell carcinoma', 'carcinoma', 'anaplastic carcinoma', 'carcinomatosis', 'sarcomatoid carcinoma', 'undifferentiated carcinoma'];cancer;100.0
wiki_fully;357;Both infants died of diphtheria during the winter of 1886-1887.;diphtheria;['diphtheria'];diphtheria;100.0
wiki_fully;366;The city suffered from plague outbreaks in 1544, 1589 and 1598.;plague;['plague', 'bubonic plague', 'pneumonic plague'];plague;100.0
wiki_fully;368;He died of the plague, the year after his ennoblement on December 13, 1565.;plague;['plague', 'bubonic plague', 'pneumonic plague'];plague;100.0
