origin;sent_id;sentence;BERN_extracted_ngram;MESHtoCUIs;BERN_CUI_to_CHV_ID;BERN_CHV_terms;BERN_CHV_freq_scores;exact_match_CUIs;exact_match_CUI_to_CHV_ID;exact_match_CHV_terms;exact_match_CHV_freq_scores;qumls_CUIs;qumls_CUI_to_CHV_ID;qumls_CHV_terms;qumls_CHV_freq_scores;CHV_selection;CHV_substitution;sim_scores
wiki_fully;11;Unable to function, the muscles weaken and exhibit atrophy.;atrophy;['C2350270', 'C2350271'];[[], []];[[], []];[[], []];['C0333641'];[['0000001574', '0000029786']];[['atrophy', 'atrophic']];[[0.464369933, 0.166994873]];['C0333641'];[['0000001574', '0000029786']];[['atrophy', 'atrophic']];[[0.464369933, 0.166994873]];['atrophy', 'atrophic'];atrophy;100.0
wiki_fully;59;Adenocarcinoma arises from glandular cells that are present at the junction of the esophagus and stomach.;Adenocarcinoma;['C0001418', 'C0205641', 'C0205644', 'C0205642', 'C0205645', 'C0205643'];[['0000000709'], ['0000020662'], [], ['0000020663'], ['0000020665'], ['0000020664']];[['adenocarcinoma'], ['basal cell adenocarcinoma'], [], ['hurthle cell carcinoma'], ['tubular carcinoma'], ['cribriform carcinoma']];[[0.410417547], [-1.0], [], [0.520701562], [-1.0], [-1.0]];['C0001418'];[['0000000709']];[['adenocarcinoma']];[[0.410417547]];['C0001418'];[['0000000709']];[['adenocarcinoma']];[[0.410417547]];['adenocarcinoma', 'hurthle cell carcinoma', 'basal cell adenocarcinoma', 'tubular carcinoma', 'cribriform carcinoma'];adenocarcinoma;100.0
wiki_fully;72;A hemophiliac does not bleed more intensely than a person without it, but can bleed for a much longer time.;hemophiliac;[];[];[];[];['C0259931'];[];[];[];['C0684275'];[['0000043976']];[['hemophilia']];[[0.336636833]];['hemophilia'];hemophilia;95.0
wiki_fully;78;Based on evidence of osteoarthritis in the lumbar vertebrae, eburnation, and severe wear on the teeth with pulp exposure, it seems likely that LM3 was quite old (around 50 years old) when he died.;osteoarthritis;['C0029408', 'C0086743'];[['0000009068'], ['0000015996']];[['osteoarthritis'], ['kaschin-beck disease']];[[0.317244935], [-1.0]];['C0029408'];[['0000009068']];[['osteoarthritis']];[[0.317244935]];['C0029408'];[['0000009068']];[['osteoarthritis']];[[0.317244935]];['osteoarthritis', 'kaschin-beck disease'];osteoarthritis;100.0
wiki_fully;101;In 1914 Adams's father died of a stroke.;stroke;['C0038454', 'C0751956'];[['0000011781'], ['0000048516']];[['stroke'], ['acute stroke']];[[0.799621631], [0.612045288]];['C0038454'];[['0000011781']];[['stroke']];[[0.799621631]];['C0038454'];[['0000011781']];[['stroke']];[[0.799621631]];['stroke', 'acute stroke'];stroke;100.0
wiki_fully;110;Sunderland, a main trading port at the time, was the first British town to be struck with the 'Indian cholera' epidemic.;cholera;['C0008354'];[['0000002874']];[['cholera']];[[0.480259653]];['C0008354', 'C0008359'];[['0000002874']];[['cholera']];[[0.480259653]];['C0008354', 'C0008359', 'C0008354'];[['0000002874'], ['0000002874']];[['cholera'], ['cholera']];[[0.480259653], [0.480259653]];['cholera'];cholera;100.0
wiki_fully;111;"Local government was divided between the three parishes (Holy Trinity Church, Sunderland, St. Michael's, Bishopwearmouth, and St. Peter's, Monkwearmouth) and when cholera broke out in 1831, the ""select vestrymen"", as the church councilmen were called, were unable to cope with the epidemic.";cholera;['C0008354'];[['0000002874']];[['cholera']];[[0.480259653]];['C0008354', 'C0008359'];[['0000002874']];[['cholera']];[[0.480259653]];['C0008354', 'C0008359', 'C0008354'];[['0000002874'], ['0000002874']];[['cholera'], ['cholera']];[[0.480259653], [0.480259653]];['cholera'];cholera;100.0
wiki_fully;112;Once at Richmond, Madison began drafting the Report, though he was delayed by a weeklong battle with dysentery.;dysentery;['C0013369'];[['0000004203', '0000017297']];[['dysentery', 'infectious diarrhea']];[[0.379107132, 0.376283653]];['C0013369'];[['0000004203', '0000017297']];[['dysentery', 'infectious diarrhea']];[[0.379107132, 0.376283653]];['C0013369'];[['0000004203', '0000017297']];[['dysentery', 'infectious diarrhea']];[[0.379107132, 0.376283653]];['dysentery', 'infectious diarrhea'];dysentery;100.0
wiki_fully;128;"By 1915, gangrene had set in and her entire right leg was amputated; she was required to use a wheelchair for several months.";gangrene;['C0017086'];[['0000005347']];[['gangrene']];[[0.330844899]];['C0017086'];[['0000005347']];[['gangrene']];[[0.330844899]];['C0017086'];[['0000005347']];[['gangrene']];[[0.330844899]];['gangrene'];gangrene;100.0
wiki_fully;140;The term epidemiology is now widely applied to cover the description and causation of not only epidemic disease, but of disease in general, and even many non-disease health-related conditions, such as high blood pressure and obesity.;obesity;['C0028754'];[['0000008861']];[['obesity']];[[0.712399558]];['C0028754', 'C1963185'];[['0000008861'], []];[['obesity'], []];[[0.712399558], []];['C0028754'];[['0000008861']];[['obesity']];[[0.712399558]];['obesity'];obesity;100.0
wiki_fully;145;Dr. John Snow is famous for his investigations into the causes of the 19th century cholera epidemics, and is also known as the father of (modern) epidemiology.;cholera;['C0008354'];[['0000002874']];[['cholera']];[[0.480259653]];['C0008354', 'C0008359'];[['0000002874']];[['cholera']];[[0.480259653]];['C0008354', 'C0008359', 'C0008354'];[['0000002874'], ['0000002874']];[['cholera'], ['cholera']];[[0.480259653], [0.480259653]];['cholera'];cholera;100.0
wiki_fully;169;Neurologist Oliver Sacks states that chimpanzees and other animals show no similar appreciation of rhythm yet posits that human affinity for rhythm is fundamental, so that a person's sense of rhythm can not be lost (e.g. by stroke).;stroke;['C0038454', 'C0751956'];[['0000011781'], ['0000048516']];[['stroke'], ['acute stroke']];[[0.799621631], [0.612045288]];['C0038454'];[['0000011781']];[['stroke']];[[0.799621631]];['C0038454'];[['0000011781']];[['stroke']];[[0.799621631]];['stroke', 'acute stroke'];stroke;100.0
wiki_fully;181;In January 1925 doctors realized that a potentially deadly diphtheria epidemic was poised to sweep through Nome's young people.;diphtheria;[];[];[];[];['C0012546'];[['0000003986']];[['diphtheria']];[[0.290546672]];['C0012546'];[['0000003986']];[['diphtheria']];[[0.290546672]];['diphtheria'];diphtheria;100.0
wiki_fully;182;Sullivan, still believing his ailment to be yet another complication from a long-standing battle with ulcers, died five weeks later, on October 13, 1974, at New York's Lenox Hill Hospital.;ulcers;['C0041582'];[['0000012699']];[['ulcer']];[[0.677868559]];['C0041582'];[['0000012699']];[['ulcer']];[[0.677868559]];['C0041582'];[['0000012699']];[['ulcer']];[[0.677868559]];['ulcer'];ulcer;100.0
wiki_fully;228;This included a large medical bill for treatment of their gonorrhea and $ 21,000 for the accidental destruction of his uninsured car, which they borrowed.;gonorrhea;['C0018081'];[['0000005660', '0000037834']];[['gonorrhea', 'gonococcal']];[[0.359772948, 0.10259021]];['C0018081'];[['0000005660', '0000037834']];[['gonorrhea', 'gonococcal']];[[0.359772948, 0.10259021]];['C0018081'];[['0000005660', '0000037834']];[['gonorrhea', 'gonococcal']];[[0.359772948, 0.10259021]];['gonorrhea', 'gonococcal'];gonorrhea;100.0
wiki_fully;263;In 1980, Shines' music was brought to a standstill when he suffered a stroke.;stroke;['C0038454', 'C0751956'];[['0000011781'], ['0000048516']];[['stroke'], ['acute stroke']];[[0.799621631], [0.612045288]];['C0038454'];[['0000011781']];[['stroke']];[[0.799621631]];['C0038454'];[['0000011781']];[['stroke']];[[0.799621631]];['stroke', 'acute stroke'];stroke;100.0
wiki_fully;264;Élisabeth Charlotte died of a stroke, on 23 December 1744, one week after her daughter-in-law and grandchild, at the age of sixty-eight.;stroke;['C0038454', 'C0751956'];[['0000011781'], ['0000048516']];[['stroke'], ['acute stroke']];[[0.799621631], [0.612045288]];['C0038454'];[['0000011781']];[['stroke']];[[0.799621631]];['C0038454'];[['0000011781']];[['stroke']];[[0.799621631]];['stroke', 'acute stroke'];stroke;100.0
wiki_fully;275;A significant event in the history of epidemiology and public health was Dr. John Snow's study of an 1854 outbreak of cholera in Soho.;cholera;['C0008354'];[['0000002874']];[['cholera']];[[0.480259653]];['C0008354', 'C0008359'];[['0000002874']];[['cholera']];[[0.480259653]];['C0008354', 'C0008359', 'C0008354'];[['0000002874'], ['0000002874']];[['cholera'], ['cholera']];[[0.480259653], [0.480259653]];['cholera'];cholera;100.0
wiki_fully;276;Science writer Steven Johnson describes the 2006 appearance of places related to the Broad Street Pump cholera outbreak: A replica of the pump, with a memorial plaque and without a handle (to signify John Snow's action to halt the outbreak) was erected near the location of the original pump.;cholera;['C0008354'];[['0000002874']];[['cholera']];[[0.480259653]];['C0008354', 'C0008359'];[['0000002874']];[['cholera']];[[0.480259653]];['C0008354', 'C0008359', 'C0008354'];[['0000002874'], ['0000002874']];[['cholera'], ['cholera']];[[0.480259653], [0.480259653]];['cholera'];cholera;100.0
wiki_fully;283;Misora died on June 24, 1989 from pneumonia at the age of 52, at a hospital in Tokyo.;pneumonia;['C0032285', 'C0032300', 'C0887898', 'C3714636'];[['0000009867'], ['0000009870'], [], ['0000009867', '0000055518']];[['pneumonia'], ['pneumococcal pneumonia'], [], ['pneumonia', 'pulmonitis']];[[0.745931431], [0.423595921], [], [0.745931431, -1.0]];['C0032285'];[['0000009867']];[['pneumonia']];[[0.745931431]];['C0032285', 'C3714636'];[['0000009867'], ['0000009867', '0000055518']];[['pneumonia'], ['pneumonia', 'pulmonitis']];[[0.745931431], [0.745931431, -1.0]];['pneumonia', 'pulmonitis', 'pneumococcal pneumonia'];pneumonia;100.0
wiki_fully;284;Although lying with serious pneumonia, the prison doctor refused him the necessary medication claiming he was not worthy of it.;pneumonia;['C0032285', 'C0032300', 'C0887898', 'C3714636'];[['0000009867'], ['0000009870'], [], ['0000009867', '0000055518']];[['pneumonia'], ['pneumococcal pneumonia'], [], ['pneumonia', 'pulmonitis']];[[0.745931431], [0.423595921], [], [0.745931431, -1.0]];['C0032285'];[['0000009867']];[['pneumonia']];[[0.745931431]];['C0032285', 'C3714636'];[['0000009867'], ['0000009867', '0000055518']];[['pneumonia'], ['pneumonia', 'pulmonitis']];[[0.745931431], [0.745931431, -1.0]];['pneumonia', 'pulmonitis', 'pneumococcal pneumonia'];pneumonia;100.0
wiki_fully;290;The family was apprehended in 1944 and Anne Frank died of typhus in the Bergen-Belsen concentration camp.;typhus;['C0006181', 'C0041473', 'C0041471'];[[], ['0000012688'], ['0000012686']];[[], ['epidemic typhus'], ['typhus']];[[], [-1.0], [0.259803212]];['C0041471', 'C0343758', 'C0041466'];[['0000012686'], [], ['0000012684']];[['typhus'], [], ['typhoid fever']];[[0.259803212], [], [0.565422803]];['C0041471'];[['0000012686']];[['typhus']];[[0.259803212]];['typhus', 'typhoid fever', 'epidemic typhus'];typhus;100.0
wiki_fully;299;"Hypertrophy (from Greek ὑπέρ ""excess"" + τροφή ""nourishment"") is the increase in the volume of an organ or tissue due to the enlargement of its component cells.";Hypertrophy;['C0020564'];[['0000006456']];[['enlargement']];[[0.757292911]];['C0020564'];[['0000006456']];[['enlargement']];[[0.757292911]];['C0020564'];[['0000006456']];[['enlargement']];[[0.757292911]];['enlargement'];enlargement;24.0
wiki_fully;306;He compared the effects of various acidic substances, ranging from vinegar to cider, on groups of afflicted sailors, and found the group who were given oranges and lemons had largely recovered from scurvy after six days.;scurvy;[];[];[];[];['C0036474', 'C1415369'];[['0000011134']];[['scurvy']];[[0.159142161]];['C0036474'];[['0000011134']];[['scurvy']];[[0.159142161]];['scurvy'];scurvy;100.0
