origin;sent_id;sentence;source_term;CHV_selection;CHV_substitution;sim_scores
wiki_fully;6;In 1920, the Bucks had a daughter, Carol, afflicted with phenylketonuria.;phenylketonuria;['phenylketonuria (PKU)', 'dhpr deficiency', 'hyperphenylalaninemia'];phenylketonuria (PKU);88.0
wiki_fully;11;Unable to function, the muscles weaken and exhibit atrophy.;atrophy;['atrophy', 'atrophic'];atrophy;100.0
wiki_fully;12;"About 75% of people contracting the disease experience ""limb onset"" ALS, i.e., first symptoms in the arms or legs.";ALS;"[""Lou Gehrig's disease (ALS)""]";Lou Gehrig's disease (ALS);17.0
wiki_fully;16;North America and Australia have been free of FMD for many years.;FMD;['fibromuscular dysplasia'];fibromuscular dysplasia;15.0
wiki_fully;19;There is an increased risk of STI transmission if the receiving partner has wounds on his genitals, or if the giving partner has wounds or open sores on or in his or her mouth, or bleeding gums.;STI;['sexually transmitted diseases (STDs)'];sexually transmitted diseases (STDs);21.0
wiki_fully;34;Rarely very low blood pressure may be the only sign of anaphylaxis.;anaphylaxis;['allergic shock'];allergic shock;18.0
wiki_fully;39;Worldwide, 0.05-2% of the population is estimated to have anaphylaxis at some point in life, and rates appear to be increasing.;anaphylaxis;['allergic shock'];allergic shock;18.0
wiki_fully;53;On a mechanistic level, anaphylaxis is caused by the release of mediators from certain types of white blood cells triggered either by immunologic or non-immunologic mechanisms.;anaphylaxis;['allergic shock'];allergic shock;18.0
wiki_fully;59;Adenocarcinoma arises from glandular cells that are present at the junction of the esophagus and stomach.;Adenocarcinoma;['adenocarcinoma', 'hurthle cell carcinoma', 'basal cell adenocarcinoma', 'tubular carcinoma', 'cribriform carcinoma'];adenocarcinoma;100.0
wiki_fully;72;A hemophiliac does not bleed more intensely than a person without it, but can bleed for a much longer time.;hemophiliac;['hemophilia'];hemophilia;95.0
wiki_fully;78;Based on evidence of osteoarthritis in the lumbar vertebrae, eburnation, and severe wear on the teeth with pulp exposure, it seems likely that LM3 was quite old (around 50 years old) when he died.;osteoarthritis;['osteoarthritis', 'kaschin-beck disease'];osteoarthritis;100.0
wiki_fully;83;The ancient Chinese medical doctors developed the practice of variolation following a smallpox epidemic around 1000 BC.;smallpox;['smallpox disease', 'alastrim'];smallpox disease;70.0
wiki_fully;93;In her first year of medical studies at the University of Sydney she suffered dermatitis from surgical soap and was told to abandon her dreams of becoming a medical doctor.;dermatitis;['skin inflammation'];skin inflammation;11.0
wiki_fully;101;In 1914 Adams's father died of a stroke.;stroke;['stroke', 'acute stroke'];stroke;100.0
wiki_fully;103;The absolute number of tuberculosis cases has been decreasing since 2006, and new cases have decreased since 2002.;tuberculosis;['tuberculous', 'tuberculosis (TB)'];tuberculosis (TB);88.0
wiki_fully;104;Tuberculosis typically attacks the lungs, but can also affect other parts of the body.;Tuberculosis;['tuberculous', 'tuberculosis (TB)'];tuberculosis (TB);88.0
wiki_fully;107;Totally drug-resistant TB is resistant to all currently used drugs.;TB;['tuberculous', 'tuberculosis (TB)'];tuberculosis (TB);25.0
wiki_fully;110;Sunderland, a main trading port at the time, was the first British town to be struck with the 'Indian cholera' epidemic.;cholera;['cholera'];cholera;100.0
wiki_fully;111;"Local government was divided between the three parishes (Holy Trinity Church, Sunderland, St. Michael's, Bishopwearmouth, and St. Peter's, Monkwearmouth) and when cholera broke out in 1831, the ""select vestrymen"", as the church councilmen were called, were unable to cope with the epidemic.";cholera;['cholera'];cholera;100.0
wiki_fully;112;Once at Richmond, Madison began drafting the Report, though he was delayed by a weeklong battle with dysentery.;dysentery;['dysentery', 'infectious diarrhea'];dysentery;100.0
