origin;sent_id;sentence;BERN_extracted_ngram;MESHtoCUIs;BERN_CUI_to_CHV_ID;BERN_CHV_terms;BERN_CHV_freq_scores;exact_match_CUIs;exact_match_CUI_to_CHV_ID;exact_match_CHV_terms;exact_match_CHV_freq_scores;qumls_CUIs;qumls_CUI_to_CHV_ID;qumls_CHV_terms;qumls_CHV_freq_scores;CHV_selection;CHV_substitution;sim_scores
wiki_fully;6;In 1920, the Bucks had a daughter, Carol, afflicted with phenylketonuria.;phenylketonuria;['C0031485', 'C0751434', 'C0268465', 'C0751436', 'C0751435'];[['0000009618', '0000058151'], [], ['0000026313'], [], ['0000048432']];[['phenylketonuria (PKU)', 'phenylketonuria (PKU)'], [], ['dhpr deficiency'], [], ['hyperphenylalaninemia']];[[-1.0, -1.0], [], [-1.0], [], [-1.0]];['C0031485', 'C0751434'];[['0000009618', '0000058151'], []];[['phenylketonuria (PKU)', 'phenylketonuria (PKU)'], []];[[-1.0, -1.0], []];['C0031485', 'C0031485', 'C0751434'];[['0000009618', '0000058151'], ['0000009618', '0000058151'], []];[['phenylketonuria (PKU)', 'phenylketonuria (PKU)'], ['phenylketonuria (PKU)', 'phenylketonuria (PKU)'], []];[[-1.0, -1.0], [-1.0, -1.0], []];['phenylketonuria (PKU)', 'dhpr deficiency', 'hyperphenylalaninemia'];phenylketonuria (PKU);88.0
wiki_fully;11;Unable to function, the muscles weaken and exhibit atrophy.;atrophy;['C2350270', 'C2350271'];[[], []];[[], []];[[], []];['C0333641'];[['0000001574', '0000029786']];[['atrophy', 'atrophic']];[[0.464369933, 0.166994873]];['C0333641'];[['0000001574', '0000029786']];[['atrophy', 'atrophic']];[[0.464369933, 0.166994873]];['atrophy', 'atrophic'];atrophy;100.0
wiki_fully;12;"About 75% of people contracting the disease experience ""limb onset"" ALS, i.e., first symptoms in the arms or legs.";ALS;['C0002736', 'C0543859', 'C0393554'];[['0000001073'], [], []];"[[""Lou Gehrig's disease (ALS)""], [], []]";[[-1.0], [], []];['C0002736', 'C1704945', 'C1456383', 'C0003372'];[['0000001073']];"[[""Lou Gehrig's disease (ALS)""]]";[[-1.0]];[];[];[];[];"[""Lou Gehrig's disease (ALS)""]";Lou Gehrig's disease (ALS);17.0
wiki_fully;16;North America and Australia have been free of FMD for many years.;FMD;['C0016052'];[['0000005033']];[['fibromuscular dysplasia']];[[0.187964293]];['C0238288', 'C3810599', 'C4085863', 'C4281559', 'C0016052'];[[], [], ['0000005033']];[[], [], ['fibromuscular dysplasia']];[[], [], [0.187964293]];[];[];[];[];['fibromuscular dysplasia'];fibromuscular dysplasia;15.0
wiki_fully;19;There is an increased risk of STI transmission if the receiving partner has wounds on his genitals, or if the giving partner has wounds or open sores on or in his or her mouth, or bleeding gums.;STI;[];[];[];[];['C0036916'];[['0000011285']];[['sexually transmitted diseases (STDs)']];[[-1.0]];[];[];[];[];['sexually transmitted diseases (STDs)'];sexually transmitted diseases (STDs);21.0
wiki_fully;34;Rarely very low blood pressure may be the only sign of anaphylaxis.;anaphylaxis;['C0002792'];[[]];[[]];[[]];['C0002792', 'C4316895'];[[], ['0000001091']];[[], ['allergic shock']];[[], [-1.0]];['C0002792', 'C4316895', 'C0002792', 'C4316895'];[[], ['0000001091'], [], ['0000001091']];[[], ['allergic shock'], [], ['allergic shock']];[[], [-1.0], [], [-1.0]];['allergic shock'];allergic shock;18.0
wiki_fully;39;Worldwide, 0.05-2% of the population is estimated to have anaphylaxis at some point in life, and rates appear to be increasing.;anaphylaxis;['C0002792'];[[]];[[]];[[]];['C0002792', 'C4316895'];[[], ['0000001091']];[[], ['allergic shock']];[[], [-1.0]];['C0002792', 'C4316895', 'C0002792', 'C4316895'];[[], ['0000001091'], [], ['0000001091']];[[], ['allergic shock'], [], ['allergic shock']];[[], [-1.0], [], [-1.0]];['allergic shock'];allergic shock;18.0
wiki_fully;53;On a mechanistic level, anaphylaxis is caused by the release of mediators from certain types of white blood cells triggered either by immunologic or non-immunologic mechanisms.;anaphylaxis;['C0002792'];[[]];[[]];[[]];['C0002792', 'C4316895'];[[], ['0000001091']];[[], ['allergic shock']];[[], [-1.0]];['C0002792', 'C4316895', 'C0002792', 'C4316895'];[[], ['0000001091'], [], ['0000001091']];[[], ['allergic shock'], [], ['allergic shock']];[[], [-1.0], [], [-1.0]];['allergic shock'];allergic shock;18.0
wiki_fully;59;Adenocarcinoma arises from glandular cells that are present at the junction of the esophagus and stomach.;Adenocarcinoma;['C0001418', 'C0205641', 'C0205644', 'C0205642', 'C0205645', 'C0205643'];[['0000000709'], ['0000020662'], [], ['0000020663'], ['0000020665'], ['0000020664']];[['adenocarcinoma'], ['basal cell adenocarcinoma'], [], ['hurthle cell carcinoma'], ['tubular carcinoma'], ['cribriform carcinoma']];[[0.410417547], [-1.0], [], [0.520701562], [-1.0], [-1.0]];['C0001418'];[['0000000709']];[['adenocarcinoma']];[[0.410417547]];['C0001418'];[['0000000709']];[['adenocarcinoma']];[[0.410417547]];['adenocarcinoma', 'hurthle cell carcinoma', 'basal cell adenocarcinoma', 'tubular carcinoma', 'cribriform carcinoma'];adenocarcinoma;100.0
wiki_fully;72;A hemophiliac does not bleed more intensely than a person without it, but can bleed for a much longer time.;hemophiliac;[];[];[];[];['C0259931'];[];[];[];['C0684275'];[['0000043976']];[['hemophilia']];[[0.336636833]];['hemophilia'];hemophilia;95.0
