origin;sent_id;sentence;source_term;CHV_selection;CHV_substitution;sim_scores
wiki_fully;5;In 1921, Buck's mother died of a tropical disease, sprue, and shortly afterward her father moved in.;tropical disease;['disease'];disease;63.0
wiki_fully;6;In 1920, the Bucks had a daughter, Carol, afflicted with phenylketonuria.;phenylketonuria;['phenylketonuria (PKU)', 'dhpr deficiency', 'hyperphenylalaninemia'];phenylketonuria (PKU);88.0
wiki_fully;11;Unable to function, the muscles weaken and exhibit atrophy.;atrophy;['atrophy', 'atrophic'];atrophy;100.0
wiki_fully;12;"About 75% of people contracting the disease experience ""limb onset"" ALS, i.e., first symptoms in the arms or legs.";ALS;"[""Lou Gehrig's disease (ALS)""]";Lou Gehrig's disease (ALS);17.0
wiki_fully;16;North America and Australia have been free of FMD for many years.;FMD;['fibromuscular dysplasia'];fibromuscular dysplasia;15.0
wiki_fully;19;There is an increased risk of STI transmission if the receiving partner has wounds on his genitals, or if the giving partner has wounds or open sores on or in his or her mouth, or bleeding gums.;STI;['sexually transmitted diseases (STDs)'];sexually transmitted diseases (STDs);21.0
wiki_fully;30;Hyssop is also used, usually in combination with other herbs such as liquorice, in herbal remedies, especially for lung conditions.;lung conditions;['disease', 'lung disease'];disease;24.0
wiki_fully;31;Skin allergy testing (such as patch testing) is available for certain foods and venoms.;Skin allergy;['skin allergy'];skin allergy;100.0
wiki_fully;34;Rarely very low blood pressure may be the only sign of anaphylaxis.;anaphylaxis;['allergic shock'];allergic shock;18.0
wiki_fully;39;Worldwide, 0.05-2% of the population is estimated to have anaphylaxis at some point in life, and rates appear to be increasing.;anaphylaxis;['allergic shock'];allergic shock;18.0
wiki_fully;45;Anaphylactic shock is associated with systemic vasodilation that causes low blood pressure which is by definition 30% lower than the person's baseline or below standard values.;Anaphylactic shock;['allergic shock'];allergic shock;57.0
wiki_fully;51;Those with underlying coronary disease are at greater risk of cardiac effects from anaphylaxis.;coronary disease;['coronary heart disease'];coronary heart disease;83.0
wiki_fully;53;On a mechanistic level, anaphylaxis is caused by the release of mediators from certain types of white blood cells triggered either by immunologic or non-immunologic mechanisms.;anaphylaxis;['allergic shock'];allergic shock;18.0
wiki_fully;57;Thomas died of food poisoning while working at Penny's Pleasure Inn in Detroit, Michigan.;food poisoning;['food poisoning', 'food borne disease', 'seafood poisoning'];food poisoning;100.0
wiki_fully;58;Squamous cell cancer arises from the cells that line the upper part of the esophagus.;Squamous cell cancer;['squamous cell cancer', 'squamous cell carcinoma'];squamous cell cancer;100.0
wiki_fully;59;Adenocarcinoma arises from glandular cells that are present at the junction of the esophagus and stomach.;Adenocarcinoma;['adenocarcinoma', 'hurthle cell carcinoma', 'basal cell adenocarcinoma', 'tubular carcinoma', 'cribriform carcinoma'];adenocarcinoma;100.0
