origin;sent_id;sentence;BERN_extracted_ngram;MESHtoCUIs;BERN_CUI_to_CHV_ID;BERN_CHV_terms;BERN_CHV_freq_scores;exact_match_CUIs;exact_match_CUI_to_CHV_ID;exact_match_CHV_terms;exact_match_CHV_freq_scores;qumls_CUIs;qumls_CUI_to_CHV_ID;qumls_CHV_terms;qumls_CHV_freq_scores;CHV_selection;CHV_substitution;sim_scores
wiki_fully;5;In 1921, Buck's mother died of a tropical disease, sprue, and shortly afterward her father moved in.;tropical disease;[];[];[];[];['C1336827'];[[]];[[]];[[]];['C0445334', 'C0012634'];[['0000004014']];[['disease']];[[1.0]];['disease'];disease;63.0
wiki_fully;6;In 1920, the Bucks had a daughter, Carol, afflicted with phenylketonuria.;phenylketonuria;['C0031485', 'C0751434', 'C0268465', 'C0751436', 'C0751435'];[['0000009618', '0000058151'], [], ['0000026313'], [], ['0000048432']];[['phenylketonuria (PKU)', 'phenylketonuria (PKU)'], [], ['dhpr deficiency'], [], ['hyperphenylalaninemia']];[[-1.0, -1.0], [], [-1.0], [], [-1.0]];['C0031485', 'C0751434'];[['0000009618', '0000058151'], []];[['phenylketonuria (PKU)', 'phenylketonuria (PKU)'], []];[[-1.0, -1.0], []];['C0031485', 'C0031485', 'C0751434'];[['0000009618', '0000058151'], ['0000009618', '0000058151'], []];[['phenylketonuria (PKU)', 'phenylketonuria (PKU)'], ['phenylketonuria (PKU)', 'phenylketonuria (PKU)'], []];[[-1.0, -1.0], [-1.0, -1.0], []];['phenylketonuria (PKU)', 'dhpr deficiency', 'hyperphenylalaninemia'];phenylketonuria (PKU);88.0
wiki_fully;11;Unable to function, the muscles weaken and exhibit atrophy.;atrophy;['C2350270', 'C2350271'];[[], []];[[], []];[[], []];['C0333641'];[['0000001574', '0000029786']];[['atrophy', 'atrophic']];[[0.464369933, 0.166994873]];['C0333641'];[['0000001574', '0000029786']];[['atrophy', 'atrophic']];[[0.464369933, 0.166994873]];['atrophy', 'atrophic'];atrophy;100.0
wiki_fully;12;"About 75% of people contracting the disease experience ""limb onset"" ALS, i.e., first symptoms in the arms or legs.";ALS;['C0002736', 'C0543859', 'C0393554'];[['0000001073'], [], []];"[[""Lou Gehrig's disease (ALS)""], [], []]";[[-1.0], [], []];['C0002736', 'C1704945', 'C1456383', 'C0003372'];[['0000001073']];"[[""Lou Gehrig's disease (ALS)""]]";[[-1.0]];[];[];[];[];"[""Lou Gehrig's disease (ALS)""]";Lou Gehrig's disease (ALS);17.0
wiki_fully;16;North America and Australia have been free of FMD for many years.;FMD;['C0016052'];[['0000005033']];[['fibromuscular dysplasia']];[[0.187964293]];['C0238288', 'C3810599', 'C4085863', 'C4281559', 'C0016052'];[[], [], ['0000005033']];[[], [], ['fibromuscular dysplasia']];[[], [], [0.187964293]];[];[];[];[];['fibromuscular dysplasia'];fibromuscular dysplasia;15.0
wiki_fully;19;There is an increased risk of STI transmission if the receiving partner has wounds on his genitals, or if the giving partner has wounds or open sores on or in his or her mouth, or bleeding gums.;STI;[];[];[];[];['C0036916'];[['0000011285']];[['sexually transmitted diseases (STDs)']];[[-1.0]];[];[];[];[];['sexually transmitted diseases (STDs)'];sexually transmitted diseases (STDs);21.0
wiki_fully;30;Hyssop is also used, usually in combination with other herbs such as liquorice, in herbal remedies, especially for lung conditions.;lung conditions;['C0024115'];[['0000007568']];[['lung disease']];[[0.869140091]];[];[];[];[];['C0012634', 'C0024109'];[['0000004014']];[['disease']];[[1.0]];['disease', 'lung disease'];disease;24.0
wiki_fully;31;Skin allergy testing (such as patch testing) is available for certain foods and venoms.;Skin allergy;[];[];[];[];['C0585186'];[['0000040756']];[['skin allergy']];[[0.593454691]];['C0585186'];[['0000040756']];[['skin allergy']];[[0.593454691]];['skin allergy'];skin allergy;100.0
wiki_fully;34;Rarely very low blood pressure may be the only sign of anaphylaxis.;anaphylaxis;['C0002792'];[[]];[[]];[[]];['C0002792', 'C4316895'];[[], ['0000001091']];[[], ['allergic shock']];[[], [-1.0]];['C0002792', 'C4316895', 'C0002792', 'C4316895'];[[], ['0000001091'], [], ['0000001091']];[[], ['allergic shock'], [], ['allergic shock']];[[], [-1.0], [], [-1.0]];['allergic shock'];allergic shock;18.0
wiki_fully;39;Worldwide, 0.05-2% of the population is estimated to have anaphylaxis at some point in life, and rates appear to be increasing.;anaphylaxis;['C0002792'];[[]];[[]];[[]];['C0002792', 'C4316895'];[[], ['0000001091']];[[], ['allergic shock']];[[], [-1.0]];['C0002792', 'C4316895', 'C0002792', 'C4316895'];[[], ['0000001091'], [], ['0000001091']];[[], ['allergic shock'], [], ['allergic shock']];[[], [-1.0], [], [-1.0]];['allergic shock'];allergic shock;18.0
