sent_id;sentence;entity_count;BERN_extracted_ngram;BERN_entity_type;msh_id;MESHtoCUIs
25;Gonna give you epinephrine.;1;epinephrine;drug;D004837;['C0014563', 'C0521932', 'C0001636', 'C0700536', 'C0699336', 'C0025133', 'C0014564', 'C0205755']
29;I'll put you on some steroids instead;1;steroids;drug;D013256;['C0038317', 'C0007401']
31;It's called adrenaline.;1;adrenaline;drug;Unknown;[]
41;She went into respiratory distress.;1;respiratory distress;disease;D012127;['C0035220']
42;And you injected her with epinephrine.;1;epinephrine;drug;D004837;['C0014563', 'C0521932', 'C0001636', 'C0700536', 'C0699336', 'C0025133', 'C0014564', 'C0205755']
46;People don't go into cardiac arrest from point-one cc epinephrine.;1;cardiac arrest;disease;D006323;['C0600228', 'C0018790']
46;People don't go into cardiac arrest from point-one cc epinephrine.;2;epinephrine;drug;D004837;['C0014563', 'C0521932', 'C0001636', 'C0700536', 'C0699336', 'C0025133', 'C0014564', 'C0205755']
47;She must have a pre-existing heart condition that got exacerbated by the epinephrine.;1;heart condition;disease;D006331;['C0018799']
47;She must have a pre-existing heart condition that got exacerbated by the epinephrine.;2;epinephrine;drug;D004837;['C0014563', 'C0521932', 'C0001636', 'C0700536', 'C0699336', 'C0025133', 'C0014564', 'C0205755']
54;If you haven't found an underlying cause for the cardiac arrest by then, I will have to notify our attorneys.;1;cardiac arrest;disease;D006323;['C0600228', 'C0018790']
55;Maybe she has a skin infection, cellulitis?;1;skin infection;disease;D012874;['C0037278']
55;Maybe she has a skin infection, cellulitis?;2;cellulitis;disease;D002481;['C0007642', 'C0031557']
56;That could manifest with hypo-cardio.;1;hypo-cardio;disease;Unknown;[]
60;It's no allergic, and allergies don't cause cardiac arrest like this.;1;cardiac arrest;disease;D006323;['C0600228', 'C0018790']
61;Vasculitis?;1;Vasculitis;disease;D014657;['C0042384']
62;Churg Strauss Vasculitis would.;1;Churg Strauss Vasculitis;disease;D015267;['C0008728']
63;Blood vessels of the heart, lungs, and skin become inflamed, causing the asthma, rash, and heart problems.;1;asthma;disease;D001249;['C0004096']
63;Blood vessels of the heart, lungs, and skin become inflamed, causing the asthma, rash, and heart problems.;2;rash;disease;D005076;['C0015230']
63;Blood vessels of the heart, lungs, and skin become inflamed, causing the asthma, rash, and heart problems.;3;heart problems;disease;Unknown;[]
67;The lady just came in with a rash.;1;lady;species;Unknown;[]
67;The lady just came in with a rash.;2;rash;disease;D005076;['C0015230']
73;If it was any other attending doctor, I'd say that he made a mistake and gave her too much epinephrine.;1;epinephrine;drug;D004837;['C0014563', 'C0521932', 'C0001636', 'C0700536', 'C0699336', 'C0025133', 'C0014564', 'C0205755']
79;Order a chest CT and start the sister on Prednisone.;1;Prednisone;drug;D011241;['C0032952', 'C0728770', 'C1564188', 'C0740148', 'C0740143', 'C0740147', 'C0591330', 'C0740152', 'C0740153', 'C1514380', 'C1514369', 'C1564197', 'C1564189', 'C1514382', 'C0740151', 'C1564191', 'C1564192', 'C0723447', 'C0728769', 'C1564190', 'C0728771', 'C1564200', 'C0740144', 'C1564196', 'C1564198', 'C1564199', 'C1564195']
87;This is Dr. Chase and Dr. Forman.;1;Forman;drug;Unknown;[]
102;Inflammatory bowel.;1;Inflammatory bowel;disease;D015212;['C0021390']
104;Bloody diarrhea, gas, pain.;1;Bloody diarrhea;disease;Unknown;[]
105;Took sulfasalazine, but it didn't work.;1;sulfasalazine;drug;D012460;['C0036078', 'C1564232', 'C1564231', 'C1564234', 'C1564230', 'C1564235', 'C0731586', 'C0699547', 'C1564233', 'C4082693', 'C4505433']
106;Next tried steroid enemas, oral corticosteroids, 5ASA, 6-mercaptopuine.;1;steroid;drug;D013256;['C0038317', 'C0007401']
106;Next tried steroid enemas, oral corticosteroids, 5ASA, 6-mercaptopuine.;2;corticosteroids;drug;D000305;['C0001617']
106;Next tried steroid enemas, oral corticosteroids, 5ASA, 6-mercaptopuine.;3;5ASA;drug;D019804;['C0127615', 'C0098148', 'C0886582', 'C0886581', 'C0699622', 'C0678171', 'C0699623', 'C0678169', 'C1563971', 'C1563970', 'C0699621', 'C1563972', 'C1563969', 'C1563973', 'C0678172', 'C4083158']
106;Next tried steroid enemas, oral corticosteroids, 5ASA, 6-mercaptopuine.;4;6-mercaptopuine;drug;Unknown;[]
111;Cogaritis?;1;Cogaritis;disease;Unknown;[]
112;Studies have shown that cigarette smoking is one of the most effective ways to control inflammatory bowel.;1;inflammatory bowel;disease;D015212;['C0021390']
117;Arsenio.;1;Arsenio;drug;Unknown;[]
146;Thyrotoxicosis, or carcinoid...;1;Thyrotoxicosis;disease;D006111;['C0018213']
146;Thyrotoxicosis, or carcinoid...;2;carcinoid;disease;D002276;['C0600176', 'C0007095', 'C0205695']
154;Smells, religious visions, symptomatic type of lobe swelling.;1;lobe swelling;disease;Unknown;[]
166;Two doses of Prednisone wouldn't do that.;1;Prednisone;drug;D011241;['C0032952', 'C0728770', 'C1564188', 'C0740148', 'C0740143', 'C0740147', 'C0591330', 'C0740152', 'C0740153', 'C1514380', 'C1514369', 'C1564197', 'C1564189', 'C1514382', 'C0740151', 'C1564191', 'C1564192', 'C0723447', 'C0728769', 'C1564190', 'C0728771', 'C1564200', 'C0740144', 'C1564196', 'C1564198', 'C1564199', 'C1564195']
174;It'd explain why she was feeling better on the Prednisone.;1;Prednisone;drug;D011241;['C0032952', 'C0728770', 'C1564188', 'C0740148', 'C0740143', 'C0740147', 'C0591330', 'C0740152', 'C0740153', 'C1514380', 'C1514369', 'C1564197', 'C1564189', 'C1514382', 'C0740151', 'C1564191', 'C1564192', 'C0723447', 'C0728769', 'C1564190', 'C0728771', 'C1564200', 'C0740144', 'C1564196', 'C1564198', 'C1564199', 'C1564195']
177;Swollen hands, pulmonary problems, cardiac problems, it all fits.;1;pulmonary problems;disease;Unknown;[]
177;Swollen hands, pulmonary problems, cardiac problems, it all fits.;2;cardiac problems;disease;D017202;['C0151744']
178;Except her ANA was normal.;1;ANA;gene;Unknown;[]
179;But the treatment is corticosteroids, Prednisone.;1;corticosteroids;drug;D000305;['C0001617']
179;But the treatment is corticosteroids, Prednisone.;2;Prednisone;drug;D011241;['C0032952', 'C0728770', 'C1564188', 'C0740148', 'C0740143', 'C0740147', 'C0591330', 'C0740152', 'C0740153', 'C1514380', 'C1514369', 'C1564197', 'C1564189', 'C1514382', 'C0740151', 'C1564191', 'C1564192', 'C0723447', 'C0728769', 'C1564190', 'C0728771', 'C1564200', 'C0740144', 'C1564196', 'C1564198', 'C1564199', 'C1564195']
180;And we can't go there because of the encephalitis.;1;encephalitis;disease;D004660;['C0014038', 'C0393484']
182;Hyperbaric oxygen chamber.;1;oxygen;drug;Unknown;[]
183;There's no protocol for putting a patient in a high-pressure oxygen room...;1;oxygen;drug;Unknown;[]
184;... to treat autoimmune problems.;1;autoimmune problems;disease;C538273;['C0341305']
187;And discontinue the Prednisone.;1;Prednisone;drug;D011241;['C0032952', 'C0728770', 'C1564188', 'C0740148', 'C0740143', 'C0740147', 'C0591330', 'C0740152', 'C0740153', 'C1514380', 'C1514369', 'C1564197', 'C1564189', 'C1514382', 'C0740151', 'C1564191', 'C1564192', 'C0723447', 'C0728769', 'C1564190', 'C0728771', 'C1564200', 'C0740144', 'C1564196', 'C1564198', 'C1564199', 'C1564195']
193;Hyperbaric treatments could cause oxygen toxicity, lung and eye damage.;1;oxygen toxicity;disease;Unknown;[]
193;Hyperbaric treatments could cause oxygen toxicity, lung and eye damage.;2;oxygen;drug;Unknown;[]
193;Hyperbaric treatments could cause oxygen toxicity, lung and eye damage.;3;lung and eye damage;disease;Unknown;[]
198;The pressure will force the oxygen into your system, and saturate your blood.;1;oxygen;drug;Unknown;[]
199;The last treatment with Prednisone caused the seizures, right?;1;Prednisone;drug;D011241;['C0032952', 'C0728770', 'C1564188', 'C0740148', 'C0740143', 'C0740147', 'C0591330', 'C0740152', 'C0740153', 'C1514380', 'C1514369', 'C1564197', 'C1564189', 'C1514382', 'C0740151', 'C1564191', 'C1564192', 'C0723447', 'C0728769', 'C1564190', 'C0728771', 'C1564200', 'C0740144', 'C1564196', 'C1564198', 'C1564199', 'C1564195']
200;That you reacted so strongly to the Prednisone let us know that you had an underlying problem with your immune system.;1;Prednisone;drug;D011241;['C0032952', 'C0728770', 'C1564188', 'C0740148', 'C0740143', 'C0740147', 'C0591330', 'C0740152', 'C0740153', 'C1514380', 'C1514369', 'C1564197', 'C1564189', 'C1514382', 'C0740151', 'C1564191', 'C1564192', 'C0723447', 'C0728769', 'C1564190', 'C0728771', 'C1564200', 'C0740144', 'C1564196', 'C1564198', 'C1564199', 'C1564195']
205;I would have thought it was Vixen.;1;Vixen;drug;Unknown;[]
238;Her ANA is barely elevated.;1;ANA;gene;Unknown;[]
240;O2 sats down to 83.;1;O2;drug;Unknown;[]
241;Pulmonary problems, breathing problems...;1;Pulmonary problems;disease;Unknown;[]
241;Pulmonary problems, breathing problems...;2;breathing problems;disease;D009058;['C0026635']
242;She comes in with a rash, and you put herinto cardiac arrest.;1;rash;disease;D005076;['C0015230']
242;She comes in with a rash, and you put herinto cardiac arrest.;2;cardiac arrest;disease;D006323;['C0600228', 'C0018790']
243;Maybe from the herpetic encephalitis caused by you giving her Prednisone.;1;herpetic encephalitis;disease;D020803;['C0019385', 'C0001338', 'C0276226']
243;Maybe from the herpetic encephalitis caused by you giving her Prednisone.;2;Prednisone;drug;D011241;['C0032952', 'C0728770', 'C1564188', 'C0740148', 'C0740143', 'C0740147', 'C0591330', 'C0740152', 'C0740153', 'C1514380', 'C1514369', 'C1564197', 'C1564189', 'C1514382', 'C0740151', 'C1564191', 'C1564192', 'C0723447', 'C0728769', 'C1564190', 'C0728771', 'C1564200', 'C0740144', 'C1564196', 'C1564198', 'C1564199', 'C1564195']
250;BUN and creatinine's rising.;1;creatinine;drug;Unknown;[]
251;ALT and AST twice the normal range.;1;ALT;gene;Unknown;[]
251;ALT and AST twice the normal range.;2;AST;gene;Unknown;[]
258;So I shouldn't read too much into the fact that you were looking for it in the drawer with the epinephrine syringes in it?;1;epinephrine;drug;D004837;['C0014563', 'C0521932', 'C0001636', 'C0700536', 'C0699336', 'C0025133', 'C0014564', 'C0205755']
261;They cause lung cancer, you know.;1;lung cancer;disease;D008175;['C0024121', 'C0242379']
262;You know why they have ribbons for breast cancer, colorectal cancer, prostate cancer, and not for lung cancer;1;breast cancer;disease;D001943;['C1458155', 'C0006142', 'C1257931', 'C0678222']
262;You know why they have ribbons for breast cancer, colorectal cancer, prostate cancer, and not for lung cancer;2;colorectal cancer;disease;D015179;['C1527249', 'C0009402', 'C0009404']
262;You know why they have ribbons for breast cancer, colorectal cancer, prostate cancer, and not for lung cancer;3;prostate cancer;disease;D011471;['C0033578', 'C0376358']
262;You know why they have ribbons for breast cancer, colorectal cancer, prostate cancer, and not for lung cancer;4;lung cancer;disease;D008175;['C0024121', 'C0242379']
292;I found that when you want to know the truth about someone, that someone is probably the last person you should ask.;1;someone;species;Unknown;[]
292;I found that when you want to know the truth about someone, that someone is probably the last person you should ask.;2;someone;species;Unknown;[]
301;When she had a cardiac arrest, I had to open her blouse to do CPR.;1;cardiac arrest;disease;D006323;['C0600228', 'C0018790']
319;BUN and creatinine continuing to rise.;1;creatinine;drug;Unknown;[]
332;Unfortunately, if you then get injected with even point-one cc of epinephrine, instant cardiac arrest.;1;epinephrine;drug;D004837;['C0014563', 'C0521932', 'C0001636', 'C0700536', 'C0699336', 'C0025133', 'C0014564', 'C0205755']
332;Unfortunately, if you then get injected with even point-one cc of epinephrine, instant cardiac arrest.;2;cardiac arrest;disease;D006323;['C0600228', 'C0018790']
336;And if you take the cardiac arrest out of the equation... all the rest of the symptoms can be explained by a severe long-term allergic reaction.;1;cardiac arrest;disease;D006323;['C0600228', 'C0018790']
339;'Cause it's been untreated for so long, it's gone from a simple watery eyes, scratchy throat allergy to a whopping I'm-gonna-kick-your-ass allergy.;1;scratchy throat allergy;disease;D006967;['C0020517', 'C1527304']
346;We'll skin test for allergies.;1;allergies;disease;D006967;['C0020517', 'C1527304']
376;She's in anaphylactic shock.;1;anaphylactic shock;disease;D000707;['C0002792']
384;Well, it could bemast cell leukemia.;1;cell leukemia;disease;Unknown;[]
386;And it's not eosinophilia odiopathic anaphylaxis.;1;eosinophilia odiopathic anaphylaxis;disease;D004802;['C0014457', 'C0014458']
407;I don't believe He is inside me and is going to save me.;1;He;drug;Unknown;[]
415;Would've been easier to deal with a tumor.;1;tumor;disease;Unknown;[]
425;The copper cross.;1;copper;drug;D003300;['C0009968']
427;So she's allergic to copper?;1;copper;drug;D003300;['C0009968']
448;I gave her point-one cc of epinephrine.;1;epinephrine;drug;D004837;['C0014563', 'C0521932', 'C0001636', 'C0700536', 'C0699336', 'C0025133', 'C0014564', 'C0205755']
472;Melancholy without hope.;1;Melancholy;disease;Unknown;[]
485;This is contact dermatitis.;1;contact dermatitis;disease;D003877;['C0011616', 'C0162351']
493;Diphenhydramine.;1;Diphenhydramine;drug;D004155;['C0012522', 'C0282144', 'C0004963', 'C0591162', 'C0700900', 'C0700899', 'C0700898', 'C0701996']
498;And get some of that over-the-counter cortisone cream.;1;cortisone;drug;Unknown;[]
503;How do you solve a problem like dermatitis?;1;dermatitis;disease;D003872;['C0011603']
520;Sister, you're having an asthma attack.;1;asthma;disease;D001249;['C0004096']
523;I'm gonna give you epinephrine.;1;epinephrine;drug;D004837;['C0014563', 'C0521932', 'C0001636', 'C0700536', 'C0699336', 'C0025133', 'C0014564', 'C0205755']
532;I'll put you on some steroids instead.;1;steroids;drug;D013256;['C0038317', 'C0007401']
542;You diagnosed the patient with allergies and prescribed antihistamine.;1;allergies;disease;D006967;['C0020517', 'C1527304']
543;She went into respiratory distress, and you injected her with epinephrine.;1;respiratory distress;disease;D012127;['C0035220']
543;She went into respiratory distress, and you injected her with epinephrine.;2;epinephrine;drug;D004837;['C0014563', 'C0521932', 'C0001636', 'C0700536', 'C0699336', 'C0025133', 'C0014564', 'C0205755']
547;People don't go into cardiac arrest from .1 c.c. epinephrine.;1;cardiac arrest;disease;D006323;['C0600228', 'C0018790']
547;People don't go into cardiac arrest from .1 c.c. epinephrine.;2;epinephrine;drug;D004837;['C0014563', 'C0521932', 'C0001636', 'C0700536', 'C0699336', 'C0025133', 'C0014564', 'C0205755']
548;She must have a preexisting heart condition that got exacerbated by the epinephrine.;1;heart condition;disease;D006331;['C0018799']
548;She must have a preexisting heart condition that got exacerbated by the epinephrine.;2;epinephrine;drug;D004837;['C0014563', 'C0521932', 'C0001636', 'C0700536', 'C0699336', 'C0025133', 'C0014564', 'C0205755']
563;If you haven't found an underlying cause for the cardiac arrest by then,;1;cardiac arrest;disease;D006323;['C0600228', 'C0018790']
566;Maybe she has a skin infection.;1;skin infection;disease;D012874;['C0037278']
567;Cellulitis?;1;Cellulitis;disease;D002481;['C0007642', 'C0031557']
568;That could manifest with tachycardia.;1;tachycardia;disease;D013610;['C0080203', 'C0039231']
569;There's no history of fever.;1;fever;disease;D005334;['C0015967']
575;Allergies don't cause cardiac arrest like this.;1;cardiac arrest;disease;D006323;['C0600228', 'C0018790']
576;Could be inflammation of the blood vessels.;1;inflammation of the blood vessels;disease;D007249;['C0021368']
578;Churg-Strauss vasculitis would.;1;Churg-Strauss vasculitis;disease;D015267;['C0008728']
579;The blood vessels of the heart, lungs and skin become inflamed, causing the asthma, rash and heart problems-- covers all her symptoms.;1;asthma;disease;D001249;['C0004096']
579;The blood vessels of the heart, lungs and skin become inflamed, causing the asthma, rash and heart problems-- covers all her symptoms.;2;rash;disease;D005076;['C0015230']
579;The blood vessels of the heart, lungs and skin become inflamed, causing the asthma, rash and heart problems-- covers all her symptoms.;3;heart problems;disease;Unknown;[]
589;Isn't the prognosis for Churg-Strauss a bit grim?;1;Churg-Strauss;disease;D015267;['C0008728']
