origin;sent_id;sentence;entity_count;BERN_extracted_ngram;BERN_entity_type;msh_id;MESHtoCUIs
wiki_fully;1;The lack of oxygen above 2,400 metres (8,000 ft) can cause serious illnesses such as altitude sickness, high altitude pulmonary edema, and high altitude cerebral edema.;1;oxygen;drug;Unknown;[]
wiki_fully;1;The lack of oxygen above 2,400 metres (8,000 ft) can cause serious illnesses such as altitude sickness, high altitude pulmonary edema, and high altitude cerebral edema.;2;altitude sickness;disease;D000532;['C0002351', 'C3887755', 'C4045968']
wiki_fully;1;The lack of oxygen above 2,400 metres (8,000 ft) can cause serious illnesses such as altitude sickness, high altitude pulmonary edema, and high altitude cerebral edema.;3;cerebral edema;disease;D001929;['C1527311', 'C0006114', 'C0750970', 'C0750969', 'C0472388', 'C0472387']
wiki_fully;3;"For example, hemoglobin and myoglobin contain an iron center coordinated to the nitrogen atoms of a porphyrin ring; magnesium is the center of a chlorin ring in chlorophyll.";1;hemoglobin;gene;Unknown;[]
wiki_fully;3;"For example, hemoglobin and myoglobin contain an iron center coordinated to the nitrogen atoms of a porphyrin ring; magnesium is the center of a chlorin ring in chlorophyll.";2;myoglobin;gene;Unknown;[]
wiki_fully;3;"For example, hemoglobin and myoglobin contain an iron center coordinated to the nitrogen atoms of a porphyrin ring; magnesium is the center of a chlorin ring in chlorophyll.";3;iron;drug;D007505;['C0022092', 'C0701988', 'C0721062', 'C1564587', 'C0719809', 'C0701987', 'C0720403', 'C1564585', 'C0876742', 'C0701985', 'C1564586', 'C0701986']
wiki_fully;3;"For example, hemoglobin and myoglobin contain an iron center coordinated to the nitrogen atoms of a porphyrin ring; magnesium is the center of a chlorin ring in chlorophyll.";4;nitrogen;drug;Unknown;[]
wiki_fully;3;"For example, hemoglobin and myoglobin contain an iron center coordinated to the nitrogen atoms of a porphyrin ring; magnesium is the center of a chlorin ring in chlorophyll.";5;porphyrin;drug;Unknown;[]
wiki_fully;3;"For example, hemoglobin and myoglobin contain an iron center coordinated to the nitrogen atoms of a porphyrin ring; magnesium is the center of a chlorin ring in chlorophyll.";6;magnesium;drug;Unknown;[]
wiki_fully;3;"For example, hemoglobin and myoglobin contain an iron center coordinated to the nitrogen atoms of a porphyrin ring; magnesium is the center of a chlorin ring in chlorophyll.";7;chlorin;drug;Unknown;[]
