origin;sent_id;sentence;entity_count;BERN_extracted_ngram;BERN_entity_type;msh_id;MESHtoCUIs;BERN_CUI_semtypes;BERN_CUI_to_CHV_ID;BERN_CHV_terms;BERN_CHV_freq_scores;exact_match_CUIs;exact_match_CUI_semtypes;exact_match_CUI_to_CHV_ID;exact_match_CHV_terms;exact_match_CHV_freq_scores;qumls_CUIs;qumls_extracted_ngrams;qumls_matched_terms;qumls_CUI_semtypes;qumls_CUI_to_CHV_ID;qumls_CHV_terms;qumls_CHV_freq_scores
wiki_fully;5;In 1921, Buck's mother died of a tropical disease, sprue, and shortly afterward her father moved in.;1;tropical disease;disease;Unknown;[];[];[];[];[];['C1336827'];[{'T047': 'Disease or Syndrome'}];[[]];[[]];[[]];['C0445334', 'C0012634'];['tropical', 'disease'];['tropica', 'disease'];[{'T170': 'Intellectual Product'}, {'T047': 'Disease or Syndrome'}];[['0000004014']];[['disease']];[[1.0]]
wiki_fully;6;In 1920, the Bucks had a daughter, Carol, afflicted with phenylketonuria.;1;phenylketonuria;disease;D010661;['C0031485', 'C0751434', 'C0268465', 'C0751436', 'C0751435'];[{'T047': 'Disease or Syndrome'}, {'T047': 'Disease or Syndrome'}, {'T047': 'Disease or Syndrome'}, {'T047': 'Disease or Syndrome'}, {'T047': 'Disease or Syndrome'}];[['0000009618', '0000058151'], [], ['0000026313'], [], ['0000048432']];[['phenylketonuria (PKU)', 'phenylketonuria (PKU)'], [], ['dhpr deficiency'], [], ['hyperphenylalaninemia']];[[-1.0, -1.0], [], [-1.0], [], [-1.0]];['C0031485', 'C0751434'];[{'T047': 'Disease or Syndrome'}, {'T047': 'Disease or Syndrome'}];[['0000009618', '0000058151'], []];[['phenylketonuria (PKU)', 'phenylketonuria (PKU)'], []];[[-1.0, -1.0], []];['C0031485', 'C0031485', 'C0751434'];['phenylketonuria', 'phenylketonuria', 'phenylketonuria'];['phenylketonuria', 'phenylketonurias', 'Phenylketonuria'];[{'T047': 'Disease or Syndrome'}, {'T047': 'Disease or Syndrome'}, {'T047': 'Disease or Syndrome'}];[['0000009618', '0000058151'], ['0000009618', '0000058151'], []];[['phenylketonuria (PKU)', 'phenylketonuria (PKU)'], ['phenylketonuria (PKU)', 'phenylketonuria (PKU)'], []];[[-1.0, -1.0], [-1.0, -1.0], []]
wiki_fully;11;Unable to function, the muscles weaken and exhibit atrophy.;1;atrophy;disease;D055093;['C2350270', 'C2350271'];[{'T047': 'Disease or Syndrome'}, {'T047': 'Disease or Syndrome'}];[[], []];[[], []];[[], []];['C0333641'];[{'T046': 'Pathologic Function'}];[['0000001574', '0000029786']];[['atrophy', 'atrophic']];[[0.464369933, 0.166994873]];['C0333641'];['atrophy'];['atrophy'];[{'T046': 'Pathologic Function'}];[['0000001574', '0000029786']];[['atrophy', 'atrophic']];[[0.464369933, 0.166994873]]
wiki_fully;12;"About 75% of people contracting the disease experience ""limb onset"" ALS, i.e., first symptoms in the arms or legs.";1;ALS;disease;D000690;['C0002736', 'C0543859', 'C0393554'];[{'T047': 'Disease or Syndrome'}, {'T047': 'Disease or Syndrome'}, {'T047': 'Disease or Syndrome'}];[['0000001073'], [], []];"[[""Lou Gehrig's disease (ALS)""], [], []]";[[-1.0], [], []];['C0002736', 'C1704945', 'C1456383', 'C0003372'];[{'T047': 'Disease or Syndrome'}, {'T028': 'Gene or Genome'}, {'T028': 'Gene or Genome'}, {'T121': 'Pharmacologic Substance', 'T129': 'Immunologic Factor'}];[['0000001073']];"[[""Lou Gehrig's disease (ALS)""]]";[[-1.0]];[];[];[];[];[];[];[]
wiki_fully;16;North America and Australia have been free of FMD for many years.;1;FMD;disease;D005352;['C0016052'];[{'T047': 'Disease or Syndrome'}];[['0000005033']];[['fibromuscular dysplasia']];[[0.187964293]];['C0238288', 'C3810599', 'C4085863', 'C4281559', 'C0016052'];[{'T047': 'Disease or Syndrome'}, {'T028': 'Gene or Genome'}, {'T080': 'Qualitative Concept'}, {'T019': 'Congenital Abnormality'}, {'T047': 'Disease or Syndrome'}];[[], [], ['0000005033']];[[], [], ['fibromuscular dysplasia']];[[], [], [0.187964293]];[];[];[];[];[];[];[]
wiki_fully;19;There is an increased risk of STI transmission if the receiving partner has wounds on his genitals, or if the giving partner has wounds or open sores on or in his or her mouth, or bleeding gums.;1;STI;disease;Unknown;[];[];[];[];[];['C0036916'];[{'T047': 'Disease or Syndrome'}];[['0000011285']];[['sexually transmitted diseases (STDs)']];[[-1.0]];[];[];[];[];[];[];[]
wiki_fully;30;Hyssop is also used, usually in combination with other herbs such as liquorice, in herbal remedies, especially for lung conditions.;1;lung conditions;disease;D008171;['C0024115'];[{'T047': 'Disease or Syndrome'}];[['0000007568']];[['lung disease']];[[0.869140091]];[];[];[];[];[];['C0012634', 'C0024109'];['conditions', 'lung'];['condition', 'lung'];[{'T047': 'Disease or Syndrome'}, {'T023': 'Body Part, Organ, or Organ Component'}];[['0000004014']];[['disease']];[[1.0]]
wiki_fully;31;Skin allergy testing (such as patch testing) is available for certain foods and venoms.;1;Skin allergy;disease;Unknown;[];[];[];[];[];['C0585186'];[{'T047': 'Disease or Syndrome'}];[['0000040756']];[['skin allergy']];[[0.593454691]];['C0585186'];['Skin allergy'];['Skin allergy'];[{'T047': 'Disease or Syndrome'}];[['0000040756']];[['skin allergy']];[[0.593454691]]
wiki_fully;34;Rarely very low blood pressure may be the only sign of anaphylaxis.;1;anaphylaxis;disease;D000707;['C0002792'];[{'T047': 'Disease or Syndrome'}];[[]];[[]];[[]];['C0002792', 'C4316895'];[{'T047': 'Disease or Syndrome'}, {'T046': 'Pathologic Function'}];[[], ['0000001091']];[[], ['allergic shock']];[[], [-1.0]];['C0002792', 'C4316895', 'C0002792', 'C4316895'];['anaphylaxis', 'anaphylaxis', 'anaphylaxis', 'anaphylaxis'];['anaphylaxis', 'anaphylaxis', 'Anaphylaxis', 'Anaphylaxis'];[{'T047': 'Disease or Syndrome'}, {'T046': 'Pathologic Function'}, {'T047': 'Disease or Syndrome'}, {'T046': 'Pathologic Function'}];[[], ['0000001091'], [], ['0000001091']];[[], ['allergic shock'], [], ['allergic shock']];[[], [-1.0], [], [-1.0]]
wiki_fully;39;Worldwide, 0.05-2% of the population is estimated to have anaphylaxis at some point in life, and rates appear to be increasing.;1;anaphylaxis;disease;D000707;['C0002792'];[{'T047': 'Disease or Syndrome'}];[[]];[[]];[[]];['C0002792', 'C4316895'];[{'T047': 'Disease or Syndrome'}, {'T046': 'Pathologic Function'}];[[], ['0000001091']];[[], ['allergic shock']];[[], [-1.0]];['C0002792', 'C4316895', 'C0002792', 'C4316895'];['anaphylaxis', 'anaphylaxis', 'anaphylaxis', 'anaphylaxis'];['anaphylaxis', 'anaphylaxis', 'Anaphylaxis', 'Anaphylaxis'];[{'T047': 'Disease or Syndrome'}, {'T046': 'Pathologic Function'}, {'T047': 'Disease or Syndrome'}, {'T046': 'Pathologic Function'}];[[], ['0000001091'], [], ['0000001091']];[[], ['allergic shock'], [], ['allergic shock']];[[], [-1.0], [], [-1.0]]
