,sentences
0,1245-0072-lay-summary_english29 May 2019 BI 1245.72 Page 1 of 5The EASE-3 study of empagliflozin in patients with type 1 diabetesThis is a summary of one clinical study.
1,This summary describes the results of the study.
2,We thank all patients who took part in this study.
3,You helped to answer important questions about empagliflozin and the treatment of type 1 diabetes.
4,What was this study about?
5,The purpose of this study was to find out whether a medicine called empagliflozin helps patients with type 1 diabetes who are using insulin.
6,Why was the study needed?
7,Patients with type 1 diabetes need to take insulin to control their blood sugar levels.
8,"But even with insulin, some patients are not able to control their blood sugar levels very well."
9,Patients with type 1 diabetes can also have other problems like weight gain or hypoglycaemia.
10,Hypoglycaemia is when blood sugar levels are too low.
11,New medicines are needed to help patients with type 1 diabetes.
12,Which medicines were studied?
13,We studied a medicine called empagliflozin that is already used to treat type 2 diabetes.
14,This medicine helps the kidneys remove sugar from the blood.
15,The sugar is removed from the body in the urine.
16,Empagliflozin is a tablet that patients swallow once a dayWe compared empagliflozin with placebo to find out how well empagliflozin works.
17,Placebo tablets looked like empagliflozin but did not contain any medicine.
18,All patients in the study were already taking insulin.
19,They continued to take insulin during the study.
20,29 May 2019 BI 1245.72 Page 2 of 5Who participated in the study?
21,Adult patients with type 1 diabetes could take part in this study.
22,They had to be at least 18 years old.
23,They also had to have been taking insulin for at least 1 year before the start of the study.
24,"Overall, 975 patients were treated in this study."
25,There were 477 men and 498 women.
26,The average age was 43 years.
27,The youngest patient was 18 years old and the oldest was 80 years old.
28,The table below shows the numbers of patients in different regions who took part in the study.
29,"Region Countries Number of PatientsEurope Czech Republic, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Netherlands, Norway, Poland, Portugal, Romania, Russia, Spain, Sweden, United Kingdom609North America Canada, United States 249Latin America Mexico 56Pacific Australia, New Zealand 36Africa South Africa 25How was this study done?"
30,The study started with a 6-week period during which the study doctors paid special attention to each patient s diabetes treatments.
31,They checked that each patient was getting the best possible insulin dose.
32,The patients were then divided into 4 groups of almost equal size.
33,Every patient had an equal chance of being in a certain group.
34,The groups were:Empagliflozin 2.5 mg group: patients took 1 tablet of 2.5 mg empagliflozin per dayEmpagliflozin 10 mg group: patients took 1 tablet of 10 mg empagliflozin per dayEmpagliflozin 25 mg group: patients took 1 tablet of 25 mg empagliflozin per dayPlacebo group: patients took 1 placebo tablet per day29 May 2019 BI 1245.72 Page 3 of 5The patients and the study doctors did not know in which group the patients were.
35,All patients continued their insulin treatment during the study.
36,"During the study, the doctors did a measurement called HbA1c."
37,The is a measure of much sugar on average was in the blood over the last 12 weeks.
38,We wanted to know how much the blood sugar levels changed after 26 weeks of treatment.
39,Patients visited the study doctors regularly.
40,"During these visits, the study doctors collected information about the patients health."
41,The doctors also checked the patients for any unwanted effects.
42,They also looked for signs of diabetic ketoacidosis.
43,Ketoacidosis is a serious complication that can affect patients with type 1 diabetes.
44,What were the results of this study?
45,"For 6 weeks before the study, the study doctors checked that each patient got the best possible insulin dose."
46,"During this time, the blood sugar control of the patients improved."
47,The patients then started treatment with empagliflozin or placebo.
48,"After 26 weeks of treatment, all 3 doses of empagliflozin led to further reductions in HbA1c."
49,This means that the patients who took empagliflozin improved further their blood sugar control.
50,"But for patients who took placebo, there was no improvement in blood sugar control."
51,"For these patients, HbA1c increased after 26 weeks."
52,"To measure how well the treatment worked, we calculated the changes in HbA1c in all 4 groups, (2.5 mg, 10 mg, 25 mg empagliflozin groups and the placebo group)."
53,"Taking the placebo group as a reference, we found the following reductions in HbA1c: In the 2.5 mg empagliflozin group, the reduction was 0.28% In the 10 mg empagliflozin group, the reduction was 0.45% In the 25 mg empagliflozin group, the reduction was 0.52%Although the HbA1c reductions were higher in the 10 mg and 25 mg empagliflozin groups, there were also more cases of ketoacidosis."
54,6 patients (2.4%) in the empagliflozin 10 mg group and 6 patients (2.4%) in the empagliflozin 25 mg group had ketoacidosis.
55,3 patients (1.2%) in the placebo group had ketoacidosis.
56,"In the 2.5 mg empagliflozin group, there were2 patients (0.8%) who had ketoacidosis."
57,Another problem that people with diabetes sometimes have is hypoglycaemia.
58,This means that the blood sugar level falls too low.
59,"In this study, we checked how many patients had hypoglycaemia."
60,We found that patients who took empagliflozin did not have morehypoglycaemia than patients who took placebo.
61,People with type 1 diabetes tend to gain weight easily.
62,It can also be difficult for them to lose weight.
63,The patients who took 2.5 mg empagliflozin lost an average of about 1.5 kg of body weight.
64,The patients who took the 10 mg and 25 mg doses of empagliflozin lost an average of about 3 kg of body weight.
65,Patients who took placebo did not lose weight.
66,29 May 2019 BI 1245.72 Page 4 of 5Were there any unwanted effects?
67,Unwanted effects are any health problems that the study doctors thought were caused by empagliflozin or placebo.
68,"In this study, 70 out of 241 patients (29%) treated with empagliflozin 2.5 mg had unwanted effects."
69,94 out of 248 patients (38%) treated with empagliflozin 10 mg had unwanted effects.
70,96 out of 245 patients (39%) treated with empagliflozin 25 mg had unwanted effects.
71,56 out of 241 patients (23%) treated with placebo had unwanted effects.
72,The most common unwanted effects seen in at least 5% of patients in any of the treatment groups are shown in the table below.
73,"Empagliflozin2.5 mg:241 patientsEmpagliflozin 10 mg:248 patientsEmpagliflozin25 mg:245 patientsPlacebo:241 patientsToo little sugar in the blood (hypoglycaemia)49 patients(20%)50 patients(20%)51 patients(21%)40 patients(17%)Higher levels of ketones in the blood (blood ketone body increased)2 patients(1%)13 patients(5%)5 patients(2%)3 patients(1%)Some unwanted effects were serious because they required a visit to or a longer stay in hospital, or were life-threatening."
74,Unwanted effects were also serious if the doctor thought they were serious for any other reason.
75,"In this study, 5 patients (2%) treated with empagliflozin 2.5 mg had serious unwanted effects."
76,8 patients (3%) treated with 10 mg empagliflozin had serious unwanted effects.
77,6 patients (2%) treated with 25 mg empagliflozin had serious unwanted effects.
78,1 patient (less than 1%) treated with placebo had serious unwanted effects.
79,Are there additional studies?
80,"If researchers do additional clinical studies with empagliflozin, you will find them on the websites listed in the next section."
81,"To search for these studies, use the following names: BI 10773, empagliflozin."
82,Where can I find more information?
83,You can find the scientific summaries of the study results at these websites:1.
84,Go to http://www.trials.boehringer-ingelheim.com/ and search for the study numberBI 1245.72.http://www.trials.boehringer-ingelheim.com/29 May 2019 BI 1245.72 Page 5 of 52.
85,Go to www.clinicaltrialsregister.eu/ctr-search and search for the EudraCT number 2014-005256-26.
87,Go to www.clinicaltrials.gov and search for the NCT number NCT02580591.
88,Boehringer Ingelheim sponsored this study.
89,"The full title of the study is: A Phase III, randomised, double blind, placebo-controlled, parallel group, efficacy, safety and tolerability trial of once daily, oral doses of Empagliflozin as Adjunctive to insulin thErapy over 26 weeks in patients with Type 1 Diabetes Mellitus (EASE-3) ."
90,This study started in October 2015 and finished in September 2017.
91,Important noticeThis summary shows only the results from one study and may not represent all of the knowledge about the medicine studied.
92,"Usually, more than one study is carried out in order to find out how well a medicine works and the side effects of the medicine."
93,Other studies may have different results.
94,You should not change your therapy based on the results of this study without first talking to your treating physician.
95,Always consult your treating physician about your specific therapy.
96,Boehringer Ingelheim has provided this lay summary in accordance with European Union transparency obligations.
97,2019 Boehringer Ingelheim International GmbH.
98,Icons Fotolia by Matthias Enterhttp://www.clinicaltrialsregister.eu/ctr-searchhttp://www.clinicaltrials.gov What was this study about?
101,Who participated in the study?
102,How was this study done?
104,Were there any unwanted effects?
107,Important notice
108,1363-0002-lay-summary_english31 October 2019 BI 1363.2 Page 1 of 5A study to find out how well healthy people and people with cystic fibrosis tolerate BI 443651This is a summary of results from one clinical study.
109,We thank everyone who took part in this study.
110,You helped to answer important questions about BI 443651.
112,The purpose of this study was to find out how well healthy people and people with cystic fibrosis tolerate BI 443651 compared with placebo.
113,BI 443651 was being developed to treat diseases of the lungs and airways.
114,"This study had 2 parts, and each part is described separately in the following sections."
115,Who took part in this study?
116,Part 1: healthy participants40 healthy men were in this part of the study.
117,The youngest participant was 19 years old and the oldest participant was 55 years old.
118,This part of the study was done in the United Kingdom.
119,Part 2: participants with cystic fibrosisPeople with cystic fibrosis could enrol in this part of the study.
120,24 people took part.
121,This included 16 men and 8 women.
122,The youngest participant was 22 years old and the oldest participant was 55 years old.
123,This part of the study was done in the United Kingdom and Germany.
124,31 October 2019 BI 1363.2 Page 2 of 5How was this study done?
125,"In this study, participants had to inhale BI 443651 or placebo from a special inhaler called a Respimat inhaler."
126,The placebo inhaler looked like the BI 443651 inhaler but did not contain any medicine.
127,Part 1: healthy participantsWe wanted to find out how people tolerate different doses of BI 443651.
128,"To do this, we looked at the number of participants with health problems that occurred during treatment."
129,"These are any health problems that begin after participants start taking the medicine, whether doctors think they are caused by the study medicine or not."
130,The participants were given different doses of BI 443651.
131,The first participants received a low dose and participants who started the study later received higher doses.
132,Participants took between 100 micrograms ( g) and 1800 g of BI 443651 twice a day.
133,Participants knew which BI 443651 dose they were assigned to take.
134,"However, they did not know if they were taking placebo or BI 443651."
135,The doctors did not know this either.
136,Every participant had 4 times the chance of taking BI 443651 compared to placebo.
137,Treatment lasted 6.5 days.
138,Part 2: participants with cystic fibrosisWe also wanted to find out how well people with cystic fibrosis tolerate BI 443651.
139,We looked at the number of participants with health problems that occurred during treatmentin this part of the study as well.
140,"All participants received both BI 443651 and placebo, but not at the same time."
141,The participants were divided into 2 groups.
142,1 group started by taking BI 443651 for 13.5 days.
143,Then they switched to take placebo for 13.5 days.
144,The other group started by taking placebofor 13.5 days.
145,Then they switched to take BI 443651 for 13.5 days.
146,The participants had to wait at least 30 days between switching treatments.
147,Participants took 1 dose of 600 g BI 443651 twice a day or 1 dose of placebo twice a day.
148,Participants and doctors did not know if the participants took placebo or BI 443651.
149,31 October 2019 BI 1363.2 Page 3 of 5What were the results of this study?
150,Participants in both parts of the study had health problems that occurred during treatment.
151,Part 1: healthy participants 27 out of 32 participants (84%) in the BI 443651 groups had health problems that occurred during treatment.
152,3 out of 8 participants (38%) in the placebo group had health problems that occurred during treatment.
153,Participants who took higher doses of BI 443651 had more health problems than thosetaking the lowest dose or placebo.
154,Part 2: participants with cystic fibrosis 13 out of 22 participants (59%) had health problems that occurred during treatmentwith BI 443651.
155,14 out of 24 participants (58%) had health problems that occurred during treatment with placebo.
156,Did the participants have any unwanted effects?
157,"Yes, participants in both parts of the study had unwanted effects."
158,Unwanted effects are any health problems that the doctors think were caused by the study medicines.
159,This means that the unwanted effects are a subset of the health problems discussed in the previous section.
160,Part 1: healthy participants17 out of 32 participants (53%) in the BI 443651 groups had unwanted effects.
161,12 participants had changes in the sense of taste (dysgeusia) and 10 participants had a cough.
162,None of the unwanted effects were serious.
163,No participants in the placebo group had unwanted effects.
164,Participants who took the lowest dose of BI 443651 or placebo did not have any unwanted effects.
165,Participants taking at least 400 g of BI 443651 experienced unwanted effects.
166,"As the doses increased, there were more unwanted effects."
167,31 October 2019 BI 1363.2 Page 4 of 5Part 2: participants with cystic fibrosis4 out of 22 participants (18%) had unwanted effects while taking BI 443651.
168,"The following unwanted effects affected 1 participant each: chest discomfort, cough, coughing up blood (haemoptysis), and ringing or buzzing in the ears (tinnitus)."
171,Where can I find more information about this study?
172,The study number is BI 1363.2 and the EudraCT number for this study is 2016-001504-31.
173,"For more information about the study, go to www.clinicaltrials.gov and search for the NCT number NCT02976519."
175,"The full title of the study is: A Phase Ib, multicentre, double blind, randomised, two-part study, first part multiple rising dose and second part two-way cross-over, to assess safety, tolerability, efficacy and pharmacokinetics of BI 443651 compared to placebo via Respimat in healthy volunteers and cystic fibrosis subjects ."
176,This study started in February 2017 and finished in August 2018.
178,"If we do more clinical studies with BI 443651, you will find them on the website listed above."
179,"To search for these studies, use the word BI 443651.http://www.clinicaltrials.gov31 October 2019 BI 1363.2 Page 5 of 5Important noticeThis summary shows only the results from one study and may not represent all of the knowledge about the medicine studied."
186,Icons Fotolia by Matthias Enter What was this study about?
194,Lay summary 1160.189Patients who have hada stroke of unknownorigin have a high chance of havinganother stroke.
195,This study wanted to find out:Is dabigatran more effectivethan aspirin for prevention ofanother stroke?
196,100 mg aspirinonce dailyEach patient tookRESPECT ESUS: A study to compare dabigatran and aspirin for preventing further strokes in patients who have had a stroke of unknown origin (1160.189)110 or 150 mg dabigatrantwice dailyor5390 patients from 42 countries took part.
197,The circles in the map represent the number of patients in the different regions.
198,Patients who took part had a stroke of unknown origin before the study119% of patients who took dabigatranand 13% of patients who took aspirinhad unwanted effects.
