,sentences
0,Thank you!
1,"As a clinical trial participant, you belong to a large community of participants around the world."
2,You help researchers answer important health questions and discover new medical treatments.
3,"Thank you for taking part in the clinical trial for the drug AIN457, also called secukinumab."
4,This trial started in June 2011 and was finished in April 2013.
5,You and all of the 738 participants helped researchers find out if AIN457 helps adults with moderate to severe plaque psoriasis.
6,"Novartis, the sponsor of this trial, thanks you for your help and thinks it is important for you to know the results of your trial."
7,An independent non-profit organization called CISCRP prepared this summary of the trial results for you.
8,We hope it helps you understand and feel proud of your important role in medical research.
9,"If you have questions about the results, please speak with the doctor or staff at your trial site."
10,Clinical Trial RESULTS Research Sponsor: Novartis Drug Studied: AIN457 U.S. National Clinical Trial #: NCT01365455 Eudra Clinical Trial #: 2010-023512-13 Protocol #: CAIN457A2302 Trial Date: June 2011 to April 2013 2 Clinical Trial RESULTS WHAT S HAPPENED SINCE MY TRIAL ENDED?
11,"You were in the trial for up to 60 weeks, but the entire trial took almost two years to finish, because some patients started the trial later than others."
12,"The trial had 738 participants at 88 sites in 12 countries in the European Union, Asia, North America and South America."
13,"When the trial ended in April 2013, the sponsor reviewed all the data and created a report of the results."
14,This is a summary of that report.
15,WHY WAS THE RESEARCH NEEDED?
16,Researchers were looking for a better way to treat plaque psoriasis.
17,"This is the most common type of psoriasis, a long lasting disease that mainly affects the skin."
18,"It causes areas of thick, red, raised skin called plaques."
19,The plaques may be covered with silvery white buildup called scales and may itch or feel sore.
20,"In your clinical trial, researchers were studying a drug called AIN457, which may help relieve the symptoms of moderate to severe plaque psoriasis."
21,Researchers wanted to learn: Did AIN457 relieve psoriasis symptoms more than a placebo?
22,Did AIN457 still relieve psoriasis symptoms after 52 weeks?
23,Did AIN457 help in other ways?
24,What medical problems did patients have during the trial?
25,"To answer these questions, researchers asked for the help of people like you."
26,All the people in your trial had moderate to severe plaque psoriasis for at least 6 months and were at least 18 years old.
27,WHAT KIND OF TRIAL WAS THIS?
28,This was a double-blind trial.
29,"This means none of the patients, trial doctors, or staff knew what treatment each patient received."
30,Some trials are done this way because knowing what treatment you are getting can affect the results of the trial.
31,"When the trial ended, the research sponsor found out which treatment patients took so they could create a report of the trial results."
32,3 Clinical Trial RESULTS WHAT HAPPENED DURING THE TRIAL?
33,"For the first 48 weeks, the trial staff gave patients injections of the trial drug AIN457 or a placebo."
34,"A placebo is a pill or liquid that looks real, but does not contain any real medicine."
35,"During the trial and at Week 52 the trial staff measured your psoriasis symptoms, took blood and urine samples, and did physical examinations."
