HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.origin,Input.sent_id,Input.method,Input.original_sentence,Input.simplified_sentence,Answer.grammar_original,Answer.grammar_simplified,Answer.meaning_preservation,Answer.simplicity,Approve,Reject
3ICOHX7END942XYE6OSW578T7F1E0N,3BIS89HFPMUD7HXKH5MD2ZJCOAJR1W,Rate automatically simplified medical terms in sentences,"Rate the grammaticality, meaning preservation and simplification of the automatically simplified medical term in the sentence.","Medical Lexical Simplification, Lexical Simplification, Machine Translation, Consumer Health Vocabulary",$0.05,Wed Apr 22 10:42:16 PDT 2020,4,BatchId:4005448;OriginalHitTemplateId:920937336;,7200,259200,Wed Apr 29 10:42:16 PDT 2020,,,326O153BMKW1N1X282LT8YOYS1AEDG,A1C0PXPJXTO6L3,Approved,Wed Apr 22 10:49:43 PDT 2020,Wed Apr 22 10:50:22 PDT 2020,Sat Apr 25 10:50:22 PDT 2020,Thu Apr 23 08:50:19 PDT 2020,,,39,100% (1/1),100% (1/1),100% (1/1),wiki_auto,3064,CHV,"Approximately half are [stillborn], and an additional one-third die within 24 hours.","Approximately half are [stillbirth], and an additional one-third die within 24 hours.",5,5,5,0,,
3ICOHX7END942XYE6OSW578T7F1E0N,3BIS89HFPMUD7HXKH5MD2ZJCOAJR1W,Rate automatically simplified medical terms in sentences,"Rate the grammaticality, meaning preservation and simplification of the automatically simplified medical term in the sentence.","Medical Lexical Simplification, Lexical Simplification, Machine Translation, Consumer Health Vocabulary",$0.05,Wed Apr 22 10:42:16 PDT 2020,4,BatchId:4005448;OriginalHitTemplateId:920937336;,7200,259200,Wed Apr 29 10:42:16 PDT 2020,,,3GA6AFUKOQMFPJM75ENNGSZZT4CH30,A3BI0AX5T5GVO3,Approved,Wed Apr 22 10:43:59 PDT 2020,Wed Apr 22 10:47:11 PDT 2020,Sat Apr 25 10:47:11 PDT 2020,Thu Apr 23 07:07:13 PDT 2020,,,192,57% (50/87),57% (50/87),57% (50/87),wiki_auto,3064,CHV,"Approximately half are [stillborn], and an additional one-third die within 24 hours.","Approximately half are [stillbirth], and an additional one-third die within 24 hours.",4,4,4,0,,
3ICOHX7END942XYE6OSW578T7F1E0N,3BIS89HFPMUD7HXKH5MD2ZJCOAJR1W,Rate automatically simplified medical terms in sentences,"Rate the grammaticality, meaning preservation and simplification of the automatically simplified medical term in the sentence.","Medical Lexical Simplification, Lexical Simplification, Machine Translation, Consumer Health Vocabulary",$0.05,Wed Apr 22 10:42:16 PDT 2020,4,BatchId:4005448;OriginalHitTemplateId:920937336;,7200,259200,Wed Apr 29 10:42:16 PDT 2020,,,3HMIGG0U4N4NCBI2RVM7T92DZPK8YR,A219VCQZADQ45W,Approved,Thu Apr 23 05:07:49 PDT 2020,Thu Apr 23 05:08:04 PDT 2020,Sun Apr 26 05:08:04 PDT 2020,Thu Apr 23 06:06:54 PDT 2020,,,15,100% (43/43),100% (43/43),100% (43/43),wiki_auto,3064,CHV,"Approximately half are [stillborn], and an additional one-third die within 24 hours.","Approximately half are [stillbirth], and an additional one-third die within 24 hours.",5,5,5,0,,
3ICOHX7END942XYE6OSW578T7F1E0N,3BIS89HFPMUD7HXKH5MD2ZJCOAJR1W,Rate automatically simplified medical terms in sentences,"Rate the grammaticality, meaning preservation and simplification of the automatically simplified medical term in the sentence.","Medical Lexical Simplification, Lexical Simplification, Machine Translation, Consumer Health Vocabulary",$0.05,Wed Apr 22 10:42:16 PDT 2020,4,BatchId:4005448;OriginalHitTemplateId:920937336;,7200,259200,Wed Apr 29 10:42:16 PDT 2020,,,3JCG6DTRV5OK9DRCMFMD2EKBUJMQQ8,A2T82A0E42NI51,Rejected,Wed Apr 22 10:47:16 PDT 2020,Wed Apr 22 10:47:23 PDT 2020,Sat Apr 25 10:47:23 PDT 2020,,Thu Apr 23 04:54:46 PDT 2020,probably a bot,7,0% (0/33),0% (0/33),0% (0/33),wiki_auto,3064,CHV,"Approximately half are [stillborn], and an additional one-third die within 24 hours.","Approximately half are [stillbirth], and an additional one-third die within 24 hours.",3,3,3,0,,
34HEO7RUG7SPCE11KW9PTKJPVQ2RA3,3BIS89HFPMUD7HXKH5MD2ZJCOAJR1W,Rate automatically simplified medical terms in sentences,"Rate the grammaticality, meaning preservation and simplification of the automatically simplified medical term in the sentence.","Medical Lexical Simplification, Lexical Simplification, Machine Translation, Consumer Health Vocabulary",$0.05,Wed Apr 22 10:42:16 PDT 2020,5,BatchId:4005448;OriginalHitTemplateId:920937336;,7200,259200,Wed Apr 29 10:42:16 PDT 2020,,,3B837J3LDQUWYULPRY0I249H8WIRSE,A1WW3M5A1PHR7V,Approved,Thu Apr 23 06:24:35 PDT 2020,Thu Apr 23 06:25:01 PDT 2020,Sun Apr 26 06:25:01 PDT 2020,Thu Apr 23 09:17:30 PDT 2020,,,26,100% (5/5),100% (5/5),100% (5/5),House,35422,MLM,"Because she took such an interest, she discovered a tiny nodule... which in reality signified nothing but gave us no choice... but to put a person with [tendinitis] through an expensive and painful test.","Because she took such an interest, she discovered a tiny nodule... which in reality signified nothing but gave us no choice... but to put a person with [pain] through an expensive and painful test.",4,3,2,0,,
34HEO7RUG7SPCE11KW9PTKJPVQ2RA3,3BIS89HFPMUD7HXKH5MD2ZJCOAJR1W,Rate automatically simplified medical terms in sentences,"Rate the grammaticality, meaning preservation and simplification of the automatically simplified medical term in the sentence.","Medical Lexical Simplification, Lexical Simplification, Machine Translation, Consumer Health Vocabulary",$0.05,Wed Apr 22 10:42:16 PDT 2020,5,BatchId:4005448;OriginalHitTemplateId:920937336;,7200,259200,Wed Apr 29 10:42:16 PDT 2020,,,3G2UL9A02FCHTD3DB7Z9WIMPPSI76U,A3BI0AX5T5GVO3,Approved,Wed Apr 22 10:43:18 PDT 2020,Wed Apr 22 10:46:18 PDT 2020,Sat Apr 25 10:46:18 PDT 2020,Thu Apr 23 07:07:13 PDT 2020,,,180,57% (50/87),57% (50/87),57% (50/87),House,35422,MLM,"Because she took such an interest, she discovered a tiny nodule... which in reality signified nothing but gave us no choice... but to put a person with [tendinitis] through an expensive and painful test.","Because she took such an interest, she discovered a tiny nodule... which in reality signified nothing but gave us no choice... but to put a person with [pain] through an expensive and painful test.",5,5,5,0,,
34HEO7RUG7SPCE11KW9PTKJPVQ2RA3,3BIS89HFPMUD7HXKH5MD2ZJCOAJR1W,Rate automatically simplified medical terms in sentences,"Rate the grammaticality, meaning preservation and simplification of the automatically simplified medical term in the sentence.","Medical Lexical Simplification, Lexical Simplification, Machine Translation, Consumer Health Vocabulary",$0.05,Wed Apr 22 10:42:16 PDT 2020,5,BatchId:4005448;OriginalHitTemplateId:920937336;,7200,259200,Wed Apr 29 10:42:16 PDT 2020,,,3GU1KF0O4KZC5VO83KAY7KZ23Q2BPZ,A219VCQZADQ45W,Approved,Thu Apr 23 05:06:30 PDT 2020,Thu Apr 23 05:06:56 PDT 2020,Sun Apr 26 05:06:56 PDT 2020,Thu Apr 23 06:06:54 PDT 2020,,,26,100% (43/43),100% (43/43),100% (43/43),House,35422,MLM,"Because she took such an interest, she discovered a tiny nodule... which in reality signified nothing but gave us no choice... but to put a person with [tendinitis] through an expensive and painful test.","Because she took such an interest, she discovered a tiny nodule... which in reality signified nothing but gave us no choice... but to put a person with [pain] through an expensive and painful test.",5,5,2,1,,
34HEO7RUG7SPCE11KW9PTKJPVQ2RA3,3BIS89HFPMUD7HXKH5MD2ZJCOAJR1W,Rate automatically simplified medical terms in sentences,"Rate the grammaticality, meaning preservation and simplification of the automatically simplified medical term in the sentence.","Medical Lexical Simplification, Lexical Simplification, Machine Translation, Consumer Health Vocabulary",$0.05,Wed Apr 22 10:42:16 PDT 2020,5,BatchId:4005448;OriginalHitTemplateId:920937336;,7200,259200,Wed Apr 29 10:42:16 PDT 2020,,,3NVC2EB65SX1BECWFERB2SU2J0PY3G,A21YYZG5Z8IZZ2,Rejected,Wed Apr 22 10:47:31 PDT 2020,Wed Apr 22 10:47:43 PDT 2020,Sat Apr 25 10:47:43 PDT 2020,,Thu Apr 23 06:18:55 PDT 2020,not consistent,12,0% (0/8),0% (0/8),0% (0/8),House,35422,MLM,"Because she took such an interest, she discovered a tiny nodule... which in reality signified nothing but gave us no choice... but to put a person with [tendinitis] through an expensive and painful test.","Because she took such an interest, she discovered a tiny nodule... which in reality signified nothing but gave us no choice... but to put a person with [pain] through an expensive and painful test.",5,3,4,1,,
34HEO7RUG7SPCE11KW9PTKJPVQ2RA3,3BIS89HFPMUD7HXKH5MD2ZJCOAJR1W,Rate automatically simplified medical terms in sentences,"Rate the grammaticality, meaning preservation and simplification of the automatically simplified medical term in the sentence.","Medical Lexical Simplification, Lexical Simplification, Machine Translation, Consumer Health Vocabulary",$0.05,Wed Apr 22 10:42:16 PDT 2020,5,BatchId:4005448;OriginalHitTemplateId:920937336;,7200,259200,Wed Apr 29 10:42:16 PDT 2020,,,3V0Z7YWSI0YVM2L863QMCJLGV5O2V1,A2T82A0E42NI51,Rejected,Wed Apr 22 10:47:48 PDT 2020,Wed Apr 22 10:47:55 PDT 2020,Sat Apr 25 10:47:55 PDT 2020,,Thu Apr 23 04:54:46 PDT 2020,probably a bot,7,0% (0/33),0% (0/33),0% (0/33),House,35422,MLM,"Because she took such an interest, she discovered a tiny nodule... which in reality signified nothing but gave us no choice... but to put a person with [tendinitis] through an expensive and painful test.","Because she took such an interest, she discovered a tiny nodule... which in reality signified nothing but gave us no choice... but to put a person with [pain] through an expensive and painful test.",3,3,3,0,,
306996CF6XI62J7CSGU6I4LI9AU1BD,3BIS89HFPMUD7HXKH5MD2ZJCOAJR1W,Rate automatically simplified medical terms in sentences,"Rate the grammaticality, meaning preservation and simplification of the automatically simplified medical term in the sentence.","Medical Lexical Simplification, Lexical Simplification, Machine Translation, Consumer Health Vocabulary",$0.05,Wed Apr 22 10:42:16 PDT 2020,3,BatchId:4005448;OriginalHitTemplateId:920937336;,7200,259200,Wed Apr 29 10:42:16 PDT 2020,,,35K3O9HUADBYLLBYZ8GJWYRJ4EPEFQ,A947BPLJ61UU6,Approved,Wed Apr 22 10:44:04 PDT 2020,Wed Apr 22 10:44:21 PDT 2020,Sat Apr 25 10:44:21 PDT 2020,Thu Apr 23 07:37:43 PDT 2020,,,17,100% (30/30),100% (30/30),100% (30/30),House,168230,CHV,[Opacity] in the left temporal lobe.,[opaque] in the left temporal lobe.,4,2,3,-1,,
